KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L; 3G C;  3G S   ;U-L;U900;U-S;DATE; ADDR           ; REM                                                  ; OZIN     ; OZIE     ;LOCK
/;Брест
 ;4;R  ;BR.; Брест               ;;;;;; 2   ; 10     ;         ;;;;  .  .18 ;                     ;                                                      ;          ;          ;
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100701 ;123      ;;;;08.12.16 ; Машерова пр. 21     ; РУП "Белтелеком", трубостойки МТС                    ; 52.086229; 23.696930;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100702 ;12       ;;;;03.11.17 ; Энгельса 3          ; Горисполком, трубостойки МТС                         ; 52.093072; 23.681341;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100703 ;123      ;;;;21.12.16 ; б-р Космонавтов 21  ; БрГУ, триподы МТС                                    ; 52.098502; 23.694119;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 100704 ;123      ;;;;23.12.16 ; Пионерская 50       ; корпус 16 ОАО "БЭМЗ", трубостойки МТС                ; 52.098028; 23.730682;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100705 ;123      ;;;;20.01.17 ; Кижеватова 76       ; ж/д больница, отдельные трубостойки                  ; 52.106819; 23.690771;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100707 ;1        ;;;;10.02.17 ; Смирнова 66         ; ОАО "ГСКБ", трубостойки МТС                          ; 52.103187; 23.646710;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100708 ;1        ;;;;10.02.17 ; Катин Бор 105       ; ОАО "Брестодежда", трипод МТС?                       ; 52.142687; 23.668748;G*
$;4;R  ;BR.; Брест               ;;;;;; 223 ; 100709 ;1 3      ;;;;10.01.17 ; Суворова 21         ; ОАО "БрестМаш", мачта МТС                            ; 52.064426; 23.741596;G
$;4;R  ;BR.; Брест               ;;;;;; 224 ; 100711 ;123      ;;;;23.12.16 ; Московская 275      ; Дворец культуры профсоюзов, трубостойки МТС          ; 52.099425; 23.769606;G
$;4;R  ;BR.; Брест               ;;;;;; 220 ; 100716 ;123      ;;;;17.03.17 ; Поплавского 54      ; ОАО "Брестхлебопродукт", трубостойки МТС             ; 52.097811; 23.665928;G
