KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L;3G C;3G S;U-L;U900;U-S;DATE ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
/;Гомель
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300470 ;123;     ;      ;        ;10.01.17 ; Советская, 170        ; общежитие, трубостойки МТС?                          ; 52.463078; 30.984707;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300471 ;123;     ;      ;        ;02.01.17 ; Ленина пр-т., 1       ; ГФ Белтелеком, трубостойки МТС                       ; 52.424187; 31.012408;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300472 ;123;     ;      ;        ;23.12.16 ; Советская, 126        ; Белинвестбанк, трипод МТС?                           ; 52.449892; 30.994964;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300473 ; 2 ;     ;      ;        ;12.07.18 ; Советская, 157        ; з-д Электроаппаратура, трубостойки МТС?              ; 52.472765; 30.978967;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300474 ;123;     ;      ;        ;02.01.17 ; Привокзальная пл., 1  ; г-ца Гомель, трубостойки МТС                         ; 52.432005; 30.992217;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300476 ;123;     ;      ;        ;08.04.18 ; Ильича, 2             ; мясокомбинат, адм.здание, отдельные трубостойки      ; 52.401753; 31.021936;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300477 ;123;     ;      ;        ;23.12.16 ; Ильича, 331           ; з-д Кристалл, мачта МТС?                             ; 52.356645; 31.029035;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300478 ;123;     ;      ;        ;10.01.17 ; Космонавтов пр-т., 74 ; общежитие з-да Гомсельмаш, трубостойки МТС?          ; 52.455349; 30.958904;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300480 ;123;     ;      ;        ;10.01.17 ; Речицкий пр-т., 135   ; общежитие ГГТУ, трубостойки МТС?                     ; 52.404601; 30.908291;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300481 ;123;     ;      ;        ;15.01.17 ; П.Бровки, 15          ; общежитие ГГУ, трубостойки МТС?                      ; 52.473059; 31.028094;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300482 ;123;     ;      ;        ;02.01.17 ; Островского, 90       ; жилой дом (малосемейка), трубостойки МТС?            ; 52.421542; 30.976403;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300483 ;1  ;     ;      ;        ;28.07.18 ; Достоевского, 3       ; ОАО Гомельдрев, мачта МТС                            ; 52.384122; 31.019983;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300486 ;123;     ;      ;        ;15.01.17 ; Малайчука, 12         ; УП Гомельоблстрой, мачта МТС                         ; 52.461182; 30.999148;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300487 ;123;     ;      ;        ;08.12.16 ; Шоссейная, 41         ; з-д Гомсельмаш, инж. корпус, мачта МТС               ; 52.445576; 30.973946;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300488 ;123;     ;      ;        ;02.01.17 ; Интернациональная, 49 ; з-д измерительных приборов, мачта МТС                ; 52.418030; 31.000542;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300490 ;123;     ;      ;        ;22.12.16 ; Октября пр-т., 48     ; ГГТУ, 1-й корпус, трубостойки МТС                    ; 52.406748; 30.938058;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300491 ;123;     ;      ;        ;15.01.17 ; Советская, 60         ; универмаг Гомель, трубостойки МТС?                   ; 52.439278; 31.002602;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300492 ;123;     ;      ;        ;10.12.16 ; Речицкий пр-т., 7а    ; Гомельоблавтотранс, трубостойки МТС                  ; 52.415478; 30.957820;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300493 ;123;     ;      ;        ;23.12.16 ; Речицкая, 1а          ; Гомельсельстройпроект, мачта МТС                     ; 52.423065; 30.998091;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300495 ;123;     ;      ;        ;23.12.16 ; Маркса, 1             ; г-ца Октябрьская, трубостойки МТС?                   ; 52.431599; 31.016732;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 300496 ;123;     ;      ;        ;15.01.17 ; Добрушская, 5б        ; жилой дом (малосемейка), мачта МТС?                  ; 52.403023; 31.054487;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 300499 ;123;     ;      ;        ;10.01.17 ; Космонавтов пр-т., 69 ; жилой дом (малосемейка), трубостойки МТС?            ; 52.458997; 30.954033;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 302470 ;123;     ;      ;        ;29.01.17 ; Юбилейная, 52         ; дворец легкой атлетики, ДЮСШ N1, трубостойки МТС?    ; 52.451546; 31.008246;G
$;4;R  ;GO.; Гомель              ;;;;;; 153 ; 302471 ;123;     ;      ;        ;02.01.17 ; Жарковского, 24       ; СМТ-27, мачта МТС                                    ; 52.429002; 31.002195;G
$;4;R  ;GO.; Гомель              ;;;;;; 150 ; 302472 ;123;     ;      ;        ;06.12.16 ; Бочкина, 182а         ; поликлиника N2, мачта МТС                            ; 52.427558; 30.952808;G
