KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK
/;Гродно
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400800 ; 123;     ;      ;        ;01.05.17 ; К.Маркса, 29          ; дом связи (Белтелеком), отдельные трубостойки        ; 53.676700; 23.838000;
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400801 ; 123;     ;      ;        ;29.12.16 ; пр-кт Космонавтов, 100; ПО "Азот", заводоуправление, трубостойки МТС?        ; 53.677100; 23.894100;
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400803 ; 123;     ;      ;        ;21.12.16 ; Горького, 89          ; ПО "Волна", трубостойки МТС?                         ; 53.704700; 23.818700;
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400804 ; 123;     ;      ;        ;08.05.18 ; Калиновского, 1       ; г-ца "Беларусь", трубостойки МТС?                    ; 53.690937; 23.824270; 
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400805 ; 123;     ;      ;        ;23.12.16 ; Поповича, 5           ; гостиница "Гродно"                                   ; 53.670432; 23.801464;G
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400806 ; 12 ;     ;      ;        ;23.12.16 ; Суворова, 135         ; ОАО "Гродножилстрой", трубостойки                    ; 53.650980; 23.785060;G
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400807 ; 12 ;     ;      ;        ;25.12.16 ; Врублевского, 1       ; общежитие, трубостойки                               ; 53.699023; 23.809371;G
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400809 ; 123;     ;      ;        ;20.12.16 ; Советская, 18         ; ТД "Неман", триподы МТС                              ; 53.682115; 23.831695;G 
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400810 ; 12 ;     ;      ;        ;16.07.17 ; Транспортная, 3       ; центральная поликлиника, триподы МТС                 ; 53.670294; 23.822602;
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400812 ; 1 3;     ;      ;        ;16.07.17 ; пр-кт Я.Купалы, 63    ; гостиница "Турист", мачта МТС                        ; 53.654390; 23.846640;G 
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400816 ; 123;     ;      ;        ;01.05.17 ; пр-кт Космонавтов, 56 ; ОАО "ГИАП"                                           ; 53.674630; 23.863010;G
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400822 ; 123;     ;      ;        ;08.05.18 ; Куйбышева, 31         ; ДРCУ-47, мачта МТС?                                  ; 53.686080; 23.870240;G*w
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 400827 ;  23;     ;      ;        ;26.09.18 ; скидельское шоссе, 20 ; РУП "Белвторполимер", мачта МТС                      ; 53.661459; 23.954761;G 
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400828 ; 123;     ;      ;        ;21.12.16 ; Буденного, 23         ; РУПС, мачта МТС                                      ; 53.685132; 23.847284;G
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400870 ; 123;     ;      ;        ;16.07.17 ; Василька, 31          ; колледж ЖКХ, триподы МТС                             ; 53.682400; 23.839260;G
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 400879 ; 123;     ;      ;        ;29.12.16 ; Белуша, 19            ; общежитие                                            ; 53.671890; 23.847080;G*
$;4;R  ;GR.; Гродно              ;;;;;; 233 ; 401227 ;  23;     ;      ;        ;26.09.18 ;                       ; Лидская - Old City                                   ;
$;4;R  ;GR.; Гродно              ;;;;;; 234 ; 401834 ; 123;     ;      ;        ;08.05.18 ; Дубко, 17             ; ТЦ "OldCity", трипод МТС                             ; 53.701600; 23.833970;G
$;4;R  ;GR.; Гродно              ;;;;;; 230 ; 402801 ; 123;     ;      ;        ;01.12.16 ; Пролетарская, 16      ; общежитие, мачта МТС                                 ; 53.681270; 23.854450;G
