KIND;OPR;STAT;AREA;CITY ;CB;LAC;CID;GSM;DCS;3G L;3G C;3G S;U-L;U900;U-S;DATE; ADDR              ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
/;Минская область
$;4;R  ;MIO; Минск (Озерцо)      ;;;;;; 204 ; 700300 ;123   ;;;;06.05.18; Меньковский тр. 2     ; авторынок, столб МТС                                 ; 53.850112; 27.421423;G
$;4;R  ;MIO; Сеница              ;;;;;; 210 ; 700304 ;123   ;;;;30.01.17; Набережная            ; торговый центр, мачта МТС                            ; 53.822400; 27.518785;G
$;4;R  ;MIO; Прилуки             ;;;;;; 204 ; 700306 ;1     ;;;;05.05.18; Минский р-н           ; Мира 2, РУП НИИ защиты растений, мачта МТС?          ; 53.797350; 27.455961;G*
$;4;R  ;MIO; Большой Тростенец   ;;;;;; 206 ; 700311 ;123   ;;;;22.06.18; Минский р-н           ; опорная мачта МТС                                    ; 53.860239; 27.703671;G
$;4;R  ;MIO; Гатово              ;;;;;; 206 ; 700312 ;123   ;;;;22.06.18; Минский р-н           ; кожзавод, труба                                      ; 53.772735; 27.649964;G
$;4;R  ;MIO; Привольный          ;;;;;; 206 ; 700315 ;123   ;;;;15.01.17; Минский р-н, Мира 23  ; гостиница N2, констр.?                               ; 53.795672; 27.796969;G*
$;4;R  ;MIO; Колодищи            ;;;;;; 208 ; 700317 ; 23   ;;;;30.04.18; Минская 10            ; Белпочта, мачта МТС?                                 ; 53.956936; 27.781764;G*
$;4;R  ;MIO; Смолевичи           ;;;;;; 203 ; 700319 ;123   ;;;;22.10.17; Торговая 14Б          ; ОАО "Белдортехника", опорная мачта МТС               ; 54.013152; 28.092693;Y
$;4;R  ;MIO; Поповичи            ;;;;;; 204 ; 700321 ;123   ;;;;11.07.18; Минский р-н           ; башня 70м МТС                                        ; 53.809001; 27.348511;G
$;4;R  ;MIO; Фаниполь            ;;;;;; 204 ; 700322 ;  3   ;;;;23.07.18; Заводская 5           ; котельная, труба                                     ; 53.738701; 27.328579;G
$;4;R  ;MIO; Фаниполь            ;;;;;; 204 ; 700327 ;123   ;;;;15.06.18; Комсомольская 43      ; столовая, мачта МТС?                                 ; 53.741033; 27.318726;G*
$;4;R  ;MIO; Лесной              ;;;;;; 201 ; 700330 ;123   ;;;;21.12.16; Минский р-н           ; дом N31, кафедра БелМАПО, мачта МТС                  ; 54.0046  ; 27.6951  ;G
$;4;R  ;MIO; Новый Двор          ;;;;;; 206 ; 700334 ;123   ;;;;30.03.18; Минский р-н           ; Парковая 6, магазин, мачта МТС                       ; 53.8126  ; 27.6615  ;G
$;4;R  ;MIO; Конютичи            ;;;;;; 210 ; 700337 ;123   ;;;;22.06.18; Минский р-н           ; опорная мачта МТС                                    ; 53.792560; 27.533247;G
$;4;R  ;MIO; Колодищи            ;;;;;; 208 ; 700354 ;12    ;;;;11.08.18; Молокович 25          ; пожарная часть, мачта МТС?                           ; 53.931880; 27.760235;G
$;4;R  ;MIO; Боровая             ;;;;;; 201 ; 700356 ;123   ;;;;12.01.17; Боровая 5             ; Экспобел, трубостойки МТС                            ; 53.963468; 27.625394;G
$;4;R  ;MIO; Щомыслица           ;;;;;; 204 ; 700363 ;123   ;;;;25.05.18; Минский р-н           ; опорная мачта МТС                                    ; 53.816896; 27.443999;G
