KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L; 3G C;  3G S   ;U-L;U900;U-S;DATE; ADDR             ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
/;Могилев
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600600 ; 123     ;     ;        ;        ;03.06.17 ; Первомайская 29       ; ресторан "Днепр", мачта МТС                          ; 53.900779; 30.335660;G
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600650 ; 123     ;     ;        ;        ;01.04.17 ; Юбилейный б-р 21      ; ООП-5 Ленинского РОВД, мачта МТС?                    ; 53.903981; 30.357327;G*
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600651 ; 123     ; 160 ; 600651 ; 6  9   ;01.04.17 ; Пионерская 27         ; МГТС, отдельные трубостойки                          ; 53.900779; 30.342322;G
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600652 ; 123     ; 160 ; 600652 ;5  8    ;13.12.16 ; Шмидта пр. 3          ; МГУП, трубостойки МТС?                               ; 53.874234; 30.317017;G*
$;4;R  ;MO.; Могилев             ;;;;;; 163 ; 600653 ; 123     ;     ;        ;        ;23.12.16 ; 30 лет Победы 18      ; проф. лицей N1, мачта МТС                            ; 53.932662; 30.361701;G
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600654 ; 123     ;     ;        ;        ;03.07.18 ; Пушкинский пр. 6      ; г-ца "Турист", трипод МТС?                           ; 53.883266; 30.335751;G*
$;4;R  ;MO.; Могилев             ;;;;;; 163 ; 600657 ; 123     ; 163 ; 600657 ;5  8    ;03.12.16 ; Космонавтов 13        ; общежитие строит.колледжа, трубостойки МТС?          ; 53.910677; 30.313820;G*
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600658 ; 123     ;     ;        ;        ;26.12.16 ; Гомельское ш. 3       ; АП N1 управление, трубостойки МТС                    ; 53.863262; 30.357482;G
$;4;R  ;MO.; Могилев             ;;;;;; 163 ; 600659 ; 123     ;     ;        ;        ;26.12.16 ; Белинского 9          ; общежитие, трубостойки МТС?                          ; 53.930267; 30.347550;G*
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600660 ; 123     ;     ;        ;        ;01.04.17 ; Симонова 51           ; общежитие, мачта МТС                                 ; 53.864400; 30.310250;G
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600661 ; 123     ;     ;        ;        ;13.12.16 ; Королева 8            ; з-д Электродвигатель, трубостойки МТС?               ; 53.906537; 30.366035;G*
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600662 ; 123     ; 160 ; 600662 ;56 89   ;01.03.17 ; Первомайская 71       ; облисполком, трубостойки МТС                         ; 53.909916; 30.343256;G
$;4;R  ;MO.; Могилев             ;;;;;; 163 ; 600663 ; 123     ;     ;        ;        ;03.07.18 ; Челюскинцев 84        ; ОАО "Желатиновый завод", мачта МТС?                  ; 53.890620; 30.287562;G*
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600668 ; 123     ;     ;        ;        ;01.03.17 ; Мира пр. 6            ; г-ца "Могилев", трубостойки МТС                      ; 53.910117; 30.333150;G
$;4;R  ;MO.; Могилев             ;;;;;; 160 ; 600669 ; 123     ;     ;        ;        ;09.06.18 ; Мовчанского 53        ; ТЦ Континент, мачта МТС                              ; 53.877628; 30.374278;G
$;4;R  ;MO.; Могилев             ;;;;;; 163 ; 600672 ; 123     ;     ;        ;        ;27.10.17 ; Первомайская 152      ; проф. лицей N9, мачта МТС                            ; 53.938418; 30.332098;G
