KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;DATE; ADDR ; REM                    ;  OZIN     ;  OZIE  ;LOCK
/;Витебск
$;4;R;VI.; Витебск ;;;;;;240;200551;123;240;200551;5  8    ;13.12.16; Черняховского 19    ; облтелеком                           ; 55.175144; 30.199447;G
$;4;R;VI.; Витебск ;;;;;;245;200552;123;245;200552; 6  9   ;17.04.18; Правды 30           ; управл. РУП "Витебскэнерго"          ; 55.187857; 30.216334;G
$;4;R;VI.; Витебск ;;;;;;245;200553;123;245;200553;  7  :10;03.11.17; Софьи Панковой 6    ; ТЭЦ, труба                           ; 55.190660; 30.259600;G
$;4;R;VI.; Витебск ;;;;;;240;200554;123;240;200554;        ;13.12.16; П. Бровки 13А       ; завод "Витязь", триподы МТС?         ; 55.167496; 30.239121;G
$;4;R;VI.; Витебск ;;;;;;246;200556;123;   ;      ;        ;08.07.18; Бумагина 21         ; ОАО "Керамин", склад, мачта МТC      ; 55.196297; 30.180576;G
$;4;R;VI.; Витебск ;;;;;;246;200557;123;   ;      ;        ;08.01.17; Ленинградская 217;ОАО "Витебский райагросервис",отд. труб-ки;55.224434; 30.122216;G
$;4;R;VI.; Витебск ;;;;;;246;200558;123;   ;      ;        ;12.08.18; Революционная 30    ; элеватор, трубостойки МТС?           ; 55.202628; 30.189099;G
$;4;R;VI.; Витебск ;;;;;;245;200559;123;245;200559;56789:10;21.12.16; пр. Людникова 11    ; общежитие ОАО "Красный Октябрь"      ; 55.202490; 30.217016;G
$;4;R;VI.; Витебск ;;;;;;245;200560;123;   ;      ;        ;29.06.18; Гагарина 189        ; котельная "Северная", труба          ; 55.229160; 30.274935;G
$;4;R;VI.; Витебск ;;;;;;240;200561;123;   ;      ;        ;30.11.16; Московский пр. 29   ; общежитие, мачта МТС                 ; 55.175863; 30.221082;G
$;4;R;VI.; Витебск ;;;;;;246;200562;123;   ;      ;        ;08.11.17; Зеньковой 1         ; БЦ "Капитал"                         ; 55.191437; 30.189105;G
$;4;R;VI.; Витебск ;;;;;;240;200563;123;   ;      ;        ;03.02.17; Чкалова 36/2        ; общежитие, мачта МТС                 ; 55.166529; 30.215093;G
$;4;R;VI.; Витебск ;;;;;;245;200564;123;   ;      ;        ;03.02.17; Лазо 88А            ; общ. завода "Мегом", мачта МТС?      ; 55.201045; 30.249546;G
$;4;R;VI.; Витебск ;;;;;;240;200565;123;   ;      ;        ;23.12.16; Воинов-интернац. 1/2; жилой дом, мачта МТС                 ; 55.161965; 30.202784;G
$;4;R;VI.; Витебск ;;;;;;246;200566;123;   ;      ;        ;06.11.17; 14-я Полоцкая 35А   ; отдел мат.-техн. снабж. "Белтелеком" ; 55.191478; 30.154262;G
$;4;R;VI.; Витебск ;;;;;;245;200567;123;   ;      ;        ;13.12.16; Марка Шагала 8А     ; университет "МИТСО", трубостойки     ; 55.189183; 30.204667;G
$;4;R;VI.; Витебск ;;;;;;245;200568; 23;   ;      ;        ;30.06.18; Смоленская 11А      ; фабрика полуфабрикатов, триподы МТС? ; 55.187105; 30.236073;G	
$;4;R;VI.; Витебск ;;;;;;246;200569;123;   ;      ;        ;24.12.16; М. Горького 62      ; комбинат шёлковых тканей, трипод МТС?; 55.172654; 30.153021;G
$;4;R;VI.; Витебск ;;;;;;240;201109;123;   ;      ;        ;09.05.17; Московский пр. 130-1; гипермаркет "Евроопт", трубостойки   ; 55.174350; 30.266900;G
$;4;R;VI.; Витебск ;;;;;;240;201109;:11;   ;      ;        ;20.08.18; Московский пр. 130-1; гипермаркет "Евроопт", внутри        ; 55.174910; 30.266379;G
$;4;R;VI.; Витебск ;;;;;;246;201137;123;   ;      ;        ;23.11.17; Бешенковичское ш. 50; Витебскэнергоспецремонт, мачта МТС?  ; 55.147020; 30.123691;G
$;4;R;VI.; Витебск ;;;;;;246;201178;123;   ;      ;        ;07.01.17;Бешенковичское ш. 40А; ЧПУП "Иртранс", мачта МТС            ; 55.150000; 30.140300;G
$;4;R;VI.; Витебск ;;;;;;240;201257;1  ;   ;      ;        ;29.06.18; Актёров Ерёменко 4  ; опора освещения (север)              ; 55.169866; 30.278676;G
$;4;R;VI.; Витебск ;;;;;;240;201257; 2 ;   ;      ;        ;29.06.18; Актёров Ерёменко 4  ; опора освещения (север)              ; 55.169866; 30.278676;G*
$;4;R;VI.; Витебск ;;;;;;245;201507;1  ;   ;      ;        ;15.04.18; Терешковой 17А      ; авторынок, трубостойки МТС?          ; 55.185692; 30.251541;G
$;4;R;VI.; Витебск ;;;;;;246;202550; 23;   ;      ;        ;08.07.18; К. Маркса 53        ; магазин "Евроопт", мачта             ; 55.186341; 30.168108;G
$;4;R;VI.; Витебск ;;;;;;246;202552;123;   ;      ;        ;08.07.18; Академика Павлова 23;общежитие N2 ОАО "КИМ", трубостойки МТС?;55.186341; 30.168108;G
$;4;R;VI.; Витебск ;;;;;;245;202554;123;245;202554;  7  :10;23.12.16; Фрунзе 44           ; ресторан "Зелёная Гура", мачта МТС   ; 55.194471; 30.233415;G
$;4;R;VI.; Витебск ;;;;;;240;202556;123;   ;      ;        ;23.12.16; пр. Победы 40       ; гор. центр гигиены и эпидемиологии   ; 55.158946; 30.220647;G
$;4;R;VI.; Витебск ;;;;;;246;202557;123;   ;      ;        ;08.08.18; 3-я Чепинская 37А   ; СТО, мачта                           ; 55.210089; 30.133315;G
$;4;R;VI.; Витебск ;;;;;;240;202558;123;   ;      ;        ;23.12.16; Чкалова 17-1        ; общежитие, трипод МТС?               ; 55.174349; 30.210702;G
$;4;R;VI.; Витебск ;;;;;;245;202559;123;   ;      ;        ;03.02.17; Гагарина 68         ; ОАО "АТП N1", мачта МТС              ; 55.214730; 30.230070;G
$;4;R;VI.; Витебск ;;;;;;240;202560;123;240;202560; 67 9:10;23.12.16; пр. Победы 7        ; общежитие, трубостойки МТС?          ; 55.171034; 30.223727;G
$;4;R;VI.; Витебск ;;;;;;240;202561;123;240;202561;  7  :10;23.12.16; Московский пр. 51А  ; СК по Витебской области              ; 55.174815; 30.245807;G
$;4;R;VI.; Витебск ;;;;;;246;202562;123;246;202562;  7  :10;30.11.16; Московский пр. 10   ; облпочта, мачта МТС                  ; 55.182476; 30.206544;G
$;4;R;VI.; Витебск ;;;;;;245;202563;123;   ;      ;        ;30.11.16; Замковая 4          ; горисполком, мачта МТС               ; 55.192885; 30.205450;G
$;4;R;VI.; Витебск ;;;;;;240;202564;123;   ;      ;        ;24.06.18; Московский пр. 46   ; центр бытового обслуживания, мачта   ; 55.181952; 30.217917;G
$;4;R;VI.; Витебск ;;;;;;246;202565;123;   ;      ;        ;11.07.18; М. Горького 148     ; общежитие "Витебскдрев", мачта МТС   ; 55.164309; 30.122508;G
$;4;R;VI.; Витебск ;;;;;;246;202566;123;   ;      ;        ;06.11.17; Ленинградская 155А  ; СТО, мачта МТС?                      ; 55.206512; 30.157149;G
$;4;R;VI.; Витебск ;;;;;;246;202567;123;   ;      ;        ;14.12.16; Белорусская 6А      ; КУПП "Витебчанка", триподы МТС       ; 55.196198; 30.191100;G
$;4;R;VI.; Витебск ;;;;;;240;202570;123;240;202570;  7  :10;21.12.16; Московский пр. 72   ; уч.-лаб. корпус ВГТУ, труб-ки МТС?   ; 55.177710; 30.236923;G
$;4;R;VI.; Витебск ;;;;;;245;202571;123;   ;      ;        ;15.06.18; Терешковой 16 к. 2  ; общежитие завода "Витязь",триподы МТС; 55.183285; 30.245265;G
