KIND;OPR;STAT;AREA;CITY          ; CB           ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                       ; OZIN     ; OZIE     ;LOCK

/;Брест
 ;V;R  ;BR.; Брест               ;              ; 251 ;     ;    ;    ; 251 ; 3    ;         ;251; 5    ;    ;  .  .18 ;                       ;                                           ;          ;          ;

$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   1 ;123 ;456 ; 251 ; 3001 ;123456789;251; 5001 ;123 ;06.11.15 ; Куйбышева 64          ; вышка Брестской студии телевидения        ; 52.091827; 23.696558;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   2 ;123 ;456 ; 251 ; 3002 ;1234 67 9;251; 5002 ;123 ;26.08.15 ; Гоздецкого 28         ; ОАО "Брестский КСМ", труба                ; 52.121595; 23.789069;G
$;V;R  ;BR.; Брест               ;              ;     ;   2 ;    ;    ; 251 ; 4002 ;1 3      ;   ;      ;    ;26.08.15 ; Гоздецкого 28         ; ОАО "Брестский КСМ", труба                ; 52.121595; 23.789069;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   3 ;123 ;456 ; 251 ; 3003 ;123456 89;251; 5003 ;123 ;06.11.15 ; Суворова 21/2         ; ОАО "БрестМаш", труба                     ; 52.061947; 23.750524;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   4 ;123 ;456 ; 251 ; 3004 ;1234 67 9;251; 5004 ; 23 ;06.11.15 ; Смирнова 66           ; ОАО "ГСКБ", трубостойки                   ; 52.103187; 23.646710;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   5 ;123 ;456 ; 251 ; 3005 ;123456789;251; 5005 ;123 ;06.11.15 ; Энгельса 3            ; Горисполком, трубостойки                  ; 52.093072; 23.681341;G
$;V;R  ;BR.; Брест               ;              ;     ;   5 ;    ;    ; 251 ; 4005 ;12       ;   ;      ;    ;06.11.15 ; Энгельса 3            ; Горисполком, трубостойки                  ; 52.093072; 23.681341;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   6 ;123 ;456 ; 251 ; 3006 ;12345 78 ;251; 5006 ;123 ;06.11.15 ; Московская 204        ; ОАО "БЭЛЗ", трубостойки                   ; 52.095840; 23.739780;G
$;V;R  ;BR.; Брест               ;              ;     ;   6 ;    ;    ; 251 ; 4006 ; 2       ;   ;      ;    ;06.11.15 ; Московская 204        ; ОАО "БЭЛЗ", трубостойки                   ; 52.095840; 23.739780;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   7 ;123 ;456 ; 251 ; 3007 ;123456789;251; 5007 ;123 ;06.11.15 ; Дзержинского 14       ; здание, мачта                             ; 52.088628; 23.690729;G
$;V;R  ;BR.; Брест               ;              ;     ;   7 ;    ;    ; 251 ; 4007 ;123      ;   ;      ;    ;06.11.15 ; Дзержинского 14       ; здание, мачта                             ; 52.088628; 23.690729;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   8 ;123 ;456 ; 251 ; 3204 ;123456789;251; 5008 ;123 ;06.11.15 ; Кирова 88             ; женская консультация N1, мачта            ; 52.088997; 23.704869;G
$;V;R  ;BR.; Брест               ;              ;     ;   8 ;    ;    ; 251 ; 4204 ;12       ;   ;      ;    ;06.11.15 ; Кирова 88             ; женская консультация N1, мачта            ; 52.088997; 23.704869;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;   9 ;123 ;456 ; 251 ; 3009 ;123456789;251; 5009 ;123 ;06.11.15 ; б-р Космонавтов 21    ; БрГУ, мачта                               ; 52.098502; 23.694119;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;  10 ;123 ;456 ; 251 ; 3010 ;123456789;251; 5010 ;123 ;06.11.15 ; Московская 348/3      ; ФОК, мачта                                ; 52.105528; 23.773961;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;  11 ;123 ;456 ; 251 ; 3011 ;12345 7 9;251; 5011 ; 23 ;06.11.15 ; Инженерная 19         ; ТЭЦ, труба                                ; 52.121893; 23.681391;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;  12 ;123 ;456 ; 251 ; 3012 ;123456789;251; 5012 ;123 ;06.11.15 ; Советская 33          ; РУП "Белтелеком", триподы                 ; 52.094719; 23.690750;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;  13 ;123 ;456 ; 251 ; 3013 ;123456789;251; 5013 ;123 ;06.11.15 ; Орджоникидзе 16/1     ; УП "Белжелдорсервис", мачта               ; 52.100292; 23.685793;G
$;V;R  ;BR.; Брест               ;              ;     ;  13 ;    ;    ; 251 ; 4013 ;1 3      ;   ;      ;    ;06.11.15 ; Орджоникидзе 16/1     ; УП "Белжелдорсервис", мачта               ; 52.100292; 23.685793;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;  14 ;123 ;456 ; 251 ; 3014 ;123456789;251; 5014 ;123 ;06.11.15 ; Машерова пр. 21       ; РУП "Белтелеком", эйф.башня               ; 52.085690; 23.697320;G
$;V;R  ;BR.; Брест               ;              ;     ;  14 ;    ;    ; 251 ; 4014 ; 23      ;   ;      ;    ;06.11.15 ; Машерова пр. 21       ; РУП "Белтелеком", эйф.башня               ; 52.085690; 23.697320;G
$;V;R  ;BR.; Брест               ; BREST        ; 251 ;  15 ;123 ;456 ; 251 ; 3015 ;123456789;251; 5015 ;123 ;06.11.15 ; Машерова пр. 75/1     ; ОАО "Брестская типография", эйф.башня     ; 52.088839; 23.714010;G
$;V;R  ;BR.; Брест               ;              ;     ;  15 ;    ;    ; 251 ; 4015 ;1 3      ;   ;      ;    ;06.11.15 ; Машерова пр. 75/1     ; ОАО "Брестская типография", эйф.башня     ; 52.088839; 23.714010;G
