KIND;OPR;STAT;AREA;CITY         ; CB                ; LAC ; CID ; GSM; DCS; 3G L; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                     ;  OZIN    ;  OZIE    ;LOCK
/;Гомель
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 301 ;   1 ;123 ;456 ; 301 ; 3001 ;123456789;301; 5001 ;123 ;20.02.06 ; Ленина пр-т., 10      ; Гипроживмаш, трубостойки                ; 52.425067; 31.007946;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 304 ;   3 ;123 ;456 ; 304 ; 3003 ;1234567 9;304; 5003 ;123 ;28.11.08 ; Космонавтов пр-т., 69 ; жилой дом (малосемейка), триподы        ; 52.458997; 30.954033;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 304 ;   4 ;123 ;456 ; 304 ; 3004 ;123456789;304; 5004 ;123 ;28.11.08 ; Барыкина, 269         ; ГГТУ, 3-ий корпус, трубостойки          ; 52.423552; 30.943465;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 301 ;   5 ;123 ;456 ; 301 ; 505  ;123456789;301; 5005 ;123 ;17.02.06 ; Советская, 60         ; универмаг Гомель, трубостойки           ; 52.439278; 31.002602;G
$;V;R  ;GO.; Гомель             ;                   ; 301 ;   5 ;   7;    ; 301 ; 5051 ;1  4  7  ;   ;      ;    ;01.06.15 ; Советская, 60         ; универмаг Гомель, внутри                ; 52.439278; 31.002602;G
$;V;R  ;GO.; Гомель             ; KOSTYUKOVKA       ; 303 ;   5 ;123 ;456 ; 303 ; 3213 ;123456789;303; 5213 ;123 ;29.01.10 ; М.Ломоносова, 25      ;мкр-н Костюковка, ОАО Гомельстекло, труба; 52.533837; 30.922630;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 304 ;   7 ;123 ;456 ; 304 ; 3007 ;123456789;304; 5007 ;123 ;28.11.08 ; Речицкий пр-т., 45    ; жилой дом (малосемейка)                 ; 52.409480; 30.935038;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 301 ;   8 ;123 ;456 ; 301 ; 3008 ;123456789;301; 5008 ;12  ;02.12.06 ; Украинская, 8         ; общежитие БелЖД, мачта                  ; 52.426765; 30.989942;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 301 ;   9 ;123 ;456 ; 301 ; 3009 ;123456789;301; 5009 ;1   ;04.02.06 ; Кирова, 32а           ; НИИ металлополимеров                    ; 52.431481; 31.004727;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 304 ;  10 ;123 ;456 ; 304 ; 3010 ;123456789;304; 5010 ; 23 ;28.11.08 ; Шоссейная, 41         ; з-д Гомсельмаш, инж. корпус, мачта      ; 52.445576; 30.973946;G
$;V;R  ;GO.; Гомель             ; GOMEL'            ; 301 ;  11 ;123 ;456 ; 301 ; 3011 ;123456789;301; 5711 ;1 3 ;03.02.11 ; П.Бровки, 15          ; общежитие ГГУ                           ; 52.473059; 31.028094;G
