KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK

/;Гродно

$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   1 ;123 ;456 ; 641 ; 3001 ;123456789;641; 5001 ;123 ;         ; К.Маркса, 31           ; Гроднооблсельстрой, триподы           ; 53.675970; 23.838600;G
$;V;R;GR.; Гродно ; GRODNO      ;     ;   1 ;    ;    ; 641 ; 4001 ; 2       ;   ;      ;    ;29.07.19 ; К.Маркса, 31           ; Гроднооблсельстрой, триподы           ; 53.675970; 23.838600;G
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   2 ;123 ;456 ; 641 ; 3002 ;123456 89;641; 5002 ;123 ;01.08.09 ; Томина, 6              ; жилой дом/общежитие, трубостойки      ; 53.648300; 23.833100;
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   3 ;123 ;456 ; 641 ; 3003 ;123456   ;641; 5003 ;123 ;06.12.05 ; Поповича, 5            ; гостиница "Гродно", трубостойки       ; 53.670432; 23.801464;G
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   4 ;123 ;456 ; 641 ; 3004 ;123456   ;641; 5004 ;123 ;22.06.05 ; Горького, 89           ; РУП "Волна", трубостойки              ; 53.704700; 23.818700;
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   5 ;123 ;456 ; 641 ; 3005 ;123456   ;641; 5005 ;123 ;         ; Калиновского, 1        ; гостиница "Беларусь", трубостойки     ; 53.690992; 23.824458; 
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   6 ;123 ;456 ; 641 ; 3006 ;12345678 ;641; 5006 ;123 ;         ; Советская, 18          ; ТД "Неман", мачта                     ; 53.682335; 23.831575;G
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   7 ;123 ;456 ; 641 ; 3007 ;123456   ;641; 5007 ;123 ;27.04.07 ; Врублевского, 7        ; общежитие, мачта                      ; 53.703090; 23.808050;G
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   8 ;123 ;456 ; 641 ; 3008 ;12345678 ;641; 5008 ;123 ;04.06.07 ; пр-кт Я.Купалы, 63     ; гостиница "Турист", мачта             ; 53.654490; 23.846410;G* 
$;V;R;GR.; Гродно ; GRODNO      ; 641 ;   9 ;123 ;456 ; 641 ; 3009 ;1     7  ;641; 5009 ;123 ;04.09.06 ; Суворова, 127          ; труба                                 ; 53.659317; 23.802775;G
