KIND;OPR;STAT;AREA;CITY ;CB      ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                  ; REM                               ;   OZIN   ;   OZIE  ;LOCK
/;Минск
$;V;RVM;MI.; Минск?;             ; 107 ; 521 ;1   ;    ;     ;      ;         ;   ;      ;    ;13.06.18; ???                   ; между 14х и 45х, Маркса 13А  внутри???
$;V;S  ;MI.; Минск?;             ; 106 ; 558 ;    ;4   ;     ;      ;         ;106; 5558 ;1   ;18.04.16; ???                   ; текущая около Гикало 9, внутри???
$;V;R  ;MI.; Минск?;             ;     ;     ;    ;    ; 103 ; 3807 ;      7  ;   ;      ;    ;18.09.18; ???                   ; Шаранговича/Якубовского
$;V;R  ;MI.; Минск ; MINSK       ; 106 ;   0 ;123 ;456 ;     ;      ;         ;   ;      ;    ;05.12.13; Захарова 55           ; Белтелеком МЦК, трубостойки       ; 53.900643; 27.585443;G
$;V;RVM;MI.; Минск ;             ; 106 ;   0 ;    ;   9;     ;      ;         ;   ;      ;    ;05.12.13; Захарова 55           ; Белтелеком МЦК, внутри            ; 53.900558; 27.585572;G
$;V;R  ;MI.; Минск ; MINSK       ; 107 ;   1 ;123 ;456 ; 107 ; 3001 ;123456789;107; 5001 ;123 ;16.02.05; Победителей пр. 21    ; Дом профсоюзов, трубостойки       ; 53.911160; 27.545258;G
$;V;R  ;MI.; Минск ; MINSK       ; 107 ;   2 ;123 ;456 ; 107 ; 3002 ;123456789;107; 5002 ;123 ;21.12.05; Либкнехта 68          ; РО "Трест Промбурвод", трубостойки; 53.897130; 27.527878;G
$;V;RVO;MI.; Минск ;             ; 130 ;   2 ;   7;    ;     ;      ;         ;   ;      ;    ;22.02.13; Либкнехта 68          ; РО "Трест Промбурвод", внутри     ; 53.897130; 27.527878;G
$;V;R  ;MI.; Минск ; MINSK       ; 105 ;   3 ;123 ;456 ; 105 ; 3003 ;123456789;   ;      ;    ;31.10.14; Партизанский пр. 12   ; Белстат, трубостойки              ; 53.880296; 27.600905;G
$;V;R  ;MI.; Минск ; MINSK       ; 108 ;   4 ;123 ;456 ; 108 ; 3004 ;123456789;   ;      ;    ;09.02.05; Богдановича 155       ; НИИ ЭВМ, трубостойки              ; 53.9369  ; 27.5807  ;G
