KIND;OPR;STAT;AREA;CITY;CB            ;LAC;CID ;GSM ;DCS ;3G L;3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                                  ;  OZIN    ;  OZIE  ;LOCK

/;Могилев
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   1;123 ;456 ;401; 3001 ;123456789;401; 5001 ;123 ;08.01.05;Первомайская 16      ;16-ти этажка Кристалл, трубостойки    ; 53.901217; 30.334017;G
$;V;R  ;MO.;Могилев    ;              ;   ;   1;    ;    ;401; 4001 ;123      ;   ;      ;    ;08.01.05;Первомайская 16      ;16-ти этажка Кристалл, трубостойки    ; 53.901217; 30.334017;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   2;123 ;456 ;401; 3002 ;123456 8 ;401; 5002 ; 23 ;16.05.07;Островского 52       ;АТС 41, мачта                         ; 53.875417; 30.331767;G
$;V;R  ;MO.;Могилев    ;              ;   ;   2;    ;    ;401; 4002 ; 2       ;   ;      ;    ;16.05.07;Островского 52       ;АТС 41, мачта                         ; 53.875417; 30.331767;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   3;123 ;456 ;401; 3003 ;123456789;401; 5003 ;123 ;05.07.05;Космонавтов 13       ;общежитие строит.колледжа, трубостойки; 53.910677; 30.313820;G
$;V;R  ;MO.;Могилев    ;              ;   ;   3;    ;    ;401; 4003 ;  3      ;   ;      ;    ;05.07.05;Космонавтов 13       ;общежитие строит.колледжа, трубостойки; 53.910677; 30.313820;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   4;123 ;456 ;401;  621 ;123456789;401; 5004 ;123 ;07.06.10;Ленинская 63      ;технопарк, супермаркет Форум, трубостойки; 53.904900; 30.343783;G
$;V;R  ;MO.;Могилев    ;              ;   ;   4;    ;    ;401; 6211 ;1  4  7  ;   ;      ;    ;03.03.14;Ленинская 63      ;технопарк, супермаркет Форум, трубостойки; 53.904900; 30.343783;G
$;V;R  ;MO.;Могилев    ;              ;   ;   4;    ;    ;401; 4004 ;1  4     ;   ;      ;    ;03.03.14;Ленинская 63      ;технопарк, супермаркет Форум, трубостойки; 53.904900; 30.343783;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   5;123 ;456 ;401; 3005 ;123456789;401; 5005 ;123 ;05.07.05;Белинского 9         ;общежитие, трубостойки                ; 53.930267; 30.347550;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   6;123 ;456 ;401; 3006 ;123456789;401; 5006 ;123 ;12.04.11;Первомайская 71      ;облисполком, трубостойки              ; 53.909916; 30.343256;G
$;V;R  ;MO.;Могилев    ;              ;   ;   6;    ;    ;401; 4006 ;123      ;   ;      ;    ;12.04.11;Первомайская 71      ;облисполком, трубостойки              ; 53.909916; 30.343256;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   7;123 ;456 ;401; 3007 ;123456789;401; 5007 ;123 ;09.06.05;Королева 8           ;з-д Электродвигатель, триподы         ; 53.906682; 30.365984;G
$;V;R  ;MO.;Могилев    ;              ;   ;   7;    ;    ;401; 4007 ;1 3      ;   ;      ;    ;09.06.05;Королева 8           ;з-д Электродвигатель, триподы         ; 53.906682; 30.365984;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;   8;123 ;456 ;401; 3008 ;123456789;401; 5008 ;1 3 ;16.02.05;Пионерская 15        ;поликлиника N1, триподы               ; 53.898117; 30.340150;G
$;V;R  ;MO.;Могилев    ;              ;   ;   8;    ;    ;401; 4008 ;1 3      ;   ;      ;    ;16.02.05;Пионерская 15        ;поликлиника N1, триподы               ; 53.898117; 30.340150;G
$;V;R  ;MO.;Могилев    ;MOGILEV       ;401;  10;123 ;456 ;401; 3010 ;123456789;401; 5010 ;1 3 ;16.02.05;Шмидта пр. 3         ;МГУП, трубостойки                     ; 53.874234; 30.317017;G
