KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L; 3G C;  3G S   ;U-L;U900;U-S;DATE; ADDR           ; REM                                                  ; OZIN     ; OZIE     ;LOCK

/;Брест
 ;4;R  ;BR.; Брест               ;;     ;       ;         ;; 2   ; 10     ;         ;     ;        ;         ;  .  .18 ;                     ;                                                      ;          ;          ;

$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 227 ; 100701 ;123      ;     ;        ;         ;08.12.16 ; Машерова пр. 21     ; РУП "Белтелеком", трубостойки МТС                    ; 52.086229; 23.696930;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 227 ; 100702 ;123      ; 227 ; 100702 ; 6  9    ;03.11.17 ; Энгельса 3          ; Горисполком, трубостойки МТС                         ; 52.093072; 23.681341;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 227 ; 100703 ;123      ; 227 ; 100703 ;5 78 :10 ;21.12.16 ; б-р Космонавтов 21  ; БрГУ, триподы МТС                                    ; 52.098502; 23.694119;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 224 ; 100704 ;123      ;     ;        ;         ;23.12.16 ; Пионерская 50       ; корпус 16 ОАО "БЭМЗ", трубостойки МТС                ; 52.098028; 23.730682;G
$;4;R  ;BR.; Брест              ;v;     ;       ;         ;; 224 ; 100704 ;   :52:53;     ;        ;         ;23.12.16 ; Пионерская 50       ; корпус 16 ОАО "БЭМЗ", трубостойки МТС                ; 52.098028; 23.730682;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 220 ; 100705 ;123      ; 220 ; 100705 ; 67 9:10 ;20.01.17 ; Кижеватова 76       ; ж/д больница, отдельные трубостойки                  ; 52.106819; 23.690771;G
$;4;R  ;BR.; Брест              ;v;     ;       ;         ;; 220 ; 100705 ;   :52   ;     ;        ;         ;23.12.16 ; Кижеватова 76       ; ж/д больница, отдельные трубостойки                  ; 52.106819; 23.690771;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 224 ; 100706 ; 23      ;     ;        ;         ;23.12.16 ; Строительная 56     ; ПРУП "БЭТЗ", очистные, трубостойки МТС?              ; 52.116769; 23.739012;G*
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 220 ; 100707 ;12       ;     ;        ;         ;10.02.17 ; Смирнова 66         ; ОАО "ГСКБ", трубостойки МТС                          ; 52.103187; 23.646710;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 220 ; 100708 ;1 3      ;     ;        ;         ;10.02.17 ; Катин Бор 105       ; ОАО "Брестодежда", трипод МТС?                       ; 52.142687; 23.668748;G*
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 223 ; 100709 ;1 3      ;     ;        ;         ;10.01.17 ; Суворова 21         ; ОАО "БрестМаш", мачта МТС                            ; 52.064426; 23.741596;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 224 ; 100711 ;123      ;     ;        ;         ;23.12.16 ; Московская 275      ; Дворец культуры профсоюзов, трубостойки МТС          ; 52.099425; 23.769606;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 223 ; 100713 ;12       ; 223 ; 100713 ;56 8     ;19.04.19 ; Варшавский мост     ; погранпереход РБ-Польша, башня МТС 72м?              ; 52.073084; 23.670842;G*
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 220 ; 100716 ;123      ;     ;        ;         ;17.03.17 ; Поплавского 54      ; ОАО "Брестхлебопродукт", трубостойки МТС             ; 52.097811; 23.665928;G
$;4;R  ;BR.; Брест              ;v;     ;       ;         ;; 220 ; 100716 ;   :52   ;     ;        ;         ;17.03.17 ; Поплавского 54      ; ОАО "Брестхлебопродукт", трубостойки МТС             ; 52.097811; 23.665928;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 224 ; 100720 ;123      ;     ;        ;         ;19.05.19 ; Старые Задворцы     ; Коммерческая 17, СП "Веставто", мачта МТС на земле?  ; 52.131885; 23.772623;G*
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 224 ; 100721 ;123      ; 224 ; 100721 ; 6  9    ;25.01.17 ; Гоздецкого 11       ; РУСП "Брестжилстрой", отдельные трубостойки          ; 52.112400; 23.785970;G
$;4;R  ;BR.; Брест              ;v;     ;       ;         ;; 224 ; 100721 ;      :53;     ;        ;         ;25.01.17 ; Гоздецкого 11       ; РУСП "Брестжилстрой", отдельные трубостойки          ; 52.112400; 23.785970;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 223 ; 100726 ;123      ; 223 ; 100726 ;56789:10 ;05.05.17 ; Суворова 112        ; общ.N2 УП "Завод Цветотрон", мачта МТС               ; 52.072402; 23.761033;G
$;4;R  ;BR.; Брест              ;v;     ;       ;         ;; 223 ; 100726 ;:51:52:53;     ;        ;         ;05.05.17 ; Суворова 112        ; общ.N2 УП "Завод Цветотрон", мачта МТС               ; 52.072402; 23.761033;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 224 ; 100727 ;123      ; 224 ; 100727 ;56789:10 ;13.02.17 ; Партизанский пр. 30 ; общежитие N2 ОАО "Ковры Бреста", мачта МТС           ; 52.109824; 23.757976;G
$;4;R  ;BR.; Брест              ;v;     ;       ;         ;; 224 ; 100727 ;:51   :53;     ;        ;         ;13.02.17 ; Партизанский пр. 30 ; общежитие N2 ОАО "Ковры Бреста", мачта МТС           ; 52.109824; 23.757976;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 227 ; 100728 ;123      ; 227 ; 100728 ;  7  :10 ;23.12.16 ; Машерова пр. 75/1   ; ОАО "Брестская типография", мачта МТС                ; 52.088839; 23.714010;G
$;4;R  ;BR.; Брест               ;;     ;       ;         ;; 223 ; 100759 ;123      ;     ;        ;         ;28.11.17 ; Жукова 16           ; мкр-н Южный, столб МТС                               ; 52.058981; 23.730660;G
