KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L;3G C;3G S;U-L;U900;U-S;DATE ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK

/;Гомель

$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 153 ; 300470 ;123      ; 153 ;300470;56789:10 ;10.01.17 ; Советская, 170        ; общежитие, трубостойки МТС                           ; 52.463078; 30.984707;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 153 ; 300470;:51:52:53 ;     ;      ;         ;10.01.17 ; Советская, 170        ; общежитие, трубостойки МТС                           ; 52.463078; 30.984707;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 150 ; 300471 ;123      ; 150 ;300471;5 78 :10 ;02.01.17 ; Ленина пр-т., 1       ; ГФ Белтелеком, трубостойки МТС                       ; 52.424187; 31.012408;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 150 ; 300471;:51:52:53 ;     ;      ;         ;02.01.17 ; Ленина пр-т., 1       ; ГФ Белтелеком, трубостойки МТС                       ; 52.424187; 31.012408;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 153 ; 300472 ;123      ; 153 ;300472;56789:10 ;23.12.16 ; Советская, 126        ; Белинвестбанк, трипод МТС                            ; 52.449892; 30.994964;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 153 ; 300472;:51:52:53 ;     ;      ;         ;23.12.16 ; Советская, 126        ; Белинвестбанк, трипод МТС                            ; 52.449892; 30.994964;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 153 ; 300473 ;123      ; 153 ;300473; 67 9:10 ;12.07.18 ; Советская, 157        ; з-д Электроаппаратура, трубостойки МТС?              ; 52.472765; 30.978967;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 153 ; 300473;:51:52:53 ; 153 ;300473;   :72   ;12.07.18 ; Советская, 157        ; з-д Электроаппаратура, трубостойки МТС?              ; 52.472765; 30.978967;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 150 ; 300474 ;123      ; 150 ;300474;56 89    ;02.01.17 ; Привокзальная пл., 1  ; г-ца Гомель, трубостойки МТС                         ; 52.432005; 30.992217;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 150 ; 300474;:51:52:53 ; 150 ;300474;   :72   ;02.01.17 ; Привокзальная пл., 1  ; г-ца Гомель, трубостойки МТС                         ; 52.432005; 30.992217;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 150 ; 300476 ;123      ; 150 ;300476;5678 :10 ;08.04.18 ; Ильича, 2             ; мясокомбинат, адм.здание, отдельные трубостойки      ; 52.401753; 31.021936;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 150 ; 300476;:51:52:53 ;     ;      ;         ;08.04.18 ; Ильича, 2             ; мясокомбинат, адм.здание, отдельные трубостойки      ; 52.401753; 31.021936;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 150 ; 300477 ;123      ; 150 ;300477;5 78 :10 ;23.12.16 ; Ильича, 331           ; з-д Кристалл, мачта МТС?                             ; 52.356645; 31.029035;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 150 ; 300477;   :52    ;     ;      ;         ;23.12.16 ; Ильича, 331           ; з-д Кристалл, мачта МТС?                             ; 52.356645; 31.029035;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 153 ; 300478 ;123      ; 153 ;300478;56 89    ;10.01.17 ; Космонавтов пр-т., 74 ; общежитие з-да Гомсельмаш, трубостойки МТС?          ; 52.455349; 30.958904;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 153 ; 300478;:51:52:53 ;     ;      ;         ;10.01.17 ; Космонавтов пр-т., 74 ; общежитие з-да Гомсельмаш, трубостойки МТС?          ; 52.455349; 30.958904;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 155 ; 300479 ;123      ; 155 ;300479;         ;10.01.17 ; Барыкина, 269         ; 3-й корпус ГГТУ, трубостойки МТС                     ; 52.423552; 30.943465;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 155 ; 300479;:51:52    ;     ;      ;         ;10.01.17 ; Барыкина, 269         ; 3-й корпус ГГТУ, трубостойки МТС                     ; 52.423552; 30.943465;G
$;4;R  ;GO.; Гомель              ;;     ;       ;         ;; 155 ; 300480 ;123      ; 155 ;300480;56 89    ;10.01.17 ; Речицкий пр-т., 135   ; общежитие ГГТУ, трубостойки МТС?                     ; 52.404601; 30.908291;G
$;4;R  ;GO.; Гомель             ;v;     ;       ;         ;; 155 ; 300480;:51:52:53 ;     ;      ;         ;10.01.17 ; Речицкий пр-т., 135   ; общежитие ГГТУ, трубостойки МТС?                     ; 52.404601; 30.908291;G
