KIND;OPR;STAT;AREA;CITY ;CB;LAC;CID;GSM;DCS;3G L;3G C;3G S;U-L;U900;U-S;DATE; ADDR     ; REM                                  ;   OZIN   ;   OZIE   ;LOCK

/;Менск

$;4;R  ;MI.; Менск ; ;;;;;212;700000;123;212;700000;5 78 :10;17.12.15; Талбухіна 2           ; Гадзіннікавы завод, трубастойкі МТС   ; 53.9256  ;27.6151  ;G
$;4;R  ;MI.; Менск ;v;;;;;212;700000;:51:52:53;;   ;        ;23.03.19; Талбухіна 2           ; Гадзіннікавы завод, трубастойкі МТС   ; 53.9256  ;27.6151  ;G
$;4;RVM;MI.; Менск ; ;;;;;212;700000;:11;   ;      ;        ;07.02.16; Незалежнасці 95-4     ; офіс МТС, зала абслугоўвання          ; 53.9258  ;27.6163  ;
$;4;R  ;MI.; Менск ; ;;;;;209;700001;123;209;700001; 67 9:10;23.12.16; Караля 5              ;інтэрнат Белкаапсаюз, асоб. трубастойкі; 53.901430;27.543680;G
$;4;R  ;MI.; Менск ;v;;;;;209;700001;:51:52:53;;   ;        ;21.03.19; Караля 5              ;інтэрнат Белкаапсаюз, асоб. трубастойкі; 53.901430;27.543680;G
$;4;R  ;MI.; Менск ; ;;;;;209;700002;123;209;700002;  7  :10;17.12.15; Кастрычніцкая пл. 1   ; Палац Рэспублікі, асоб. трубастойкі   ; 53.9038  ;27.5603  ;G
$;4;R  ;MI.; Менск ;v;;;;;209;700002;:51:52:53;;   ;        ;20.03.19; Кастрычніцкая пл. 1   ; Палац Рэспублікі, асоб. трубастойкі   ; 53.9038  ;27.5603  ;G
$;4;R  ;MI.; Менск ; ;;;;;209;700004;123;209;700004;56789:10;25.12.16; Пераможцаў пр. 21     ; Дом прафзвязаў, трубастойкі МТС       ; 53.911135;27.545180;G
$;4;R  ;MI.; Менск ;v;;;;;209;700004;:51:52:53;;   ;        ;20.03.19; Пераможцаў пр. 21     ; Дом прафзвязаў, трубастойкі МТС       ; 53.911135;27.545180;G
$;4;R  ;MI.; Менск ; ;;;;;213;700005;123;   ;      ;        ;17.12.15; Куйбышава 45          ; завод Гарызонт, асобныя трубастойкі   ; 53.914660;27.5693  ;G
