KIND;OPR;STAT;AREA;CITY ;CB;LAC;CID;GSM;DCS;3G L;3G C;3G S;U-L;U900;U-S;DATE; ADDR              ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK

/;Менская вобласць

$;4;R  ;MIO; Менск (Ліпкі)      ; ;   ;      ;         ;;208;700078;12 ;   ;      ;        ;30.01.21; Ліпкаўская 9/1        ; база Белпромстрой, вежа МТС 40м                     ; 53.919233; 27.704922;G
$;4;R  ;MIO; Менск (Ліпкі)      ;v;   ;      ;         ;;208;700078;:51   :53;;   ;        ;30.01.21; Ліпкаўская 9/1        ; база Белпромстрой, вежа МТС 40м                     ; 53.919233; 27.704922;G
$;4;R  ;MIO; Менск (Азярцо)     ; ;   ;      ;         ;;204;700300;123;204;700300;56 89   ;06.05.18; Мянькоўскі тр. 2     ; аўтарынак, слуп МТС                                 ; 53.850112; 27.421423;G
$;4;R  ;MIO; Менск (Азярцо)     ;v;   ;      ;         ;;204;700300;:51:52:53;;   ;        ;25.03.19; Мянькоўскі тр. 2     ; аўтарынак, слуп МТС                                 ; 53.850112; 27.421423;G
$;4;R  ;MIO; Сеніца             ; ;   ;      ;         ;;210;700304;123;210;700304; 67 9:10;30.01.17; Набярэжная            ; гандлёвы цэнтр, мачта МТС                            ; 53.822400; 27.518785;G
$;4;R  ;MIO; Сеніца             ;v;   ;      ;         ;;210;700304;:51:52   ;;   ;        ;03.04.19; Набярэжная            ; гандлёвы цэнтр, мачта МТС                            ; 53.822400; 27.518785;G
$;4;R  ;MIO; Прылукі            ; ;   ;      ;         ;;175;700306;123;175;700306;  7  :10;05.05.18; Менскі р-н           ; Міру 2, РУП НДІ абароны раслін, мачта МТС           ; 53.797350; 27.455961;G*
$;4;R  ;MIO; Прылукі            ;v;   ;      ;         ;;175;700306;:51:52:53;;   ;        ;04.02.20; Менскі р-н           ; Міру 2, РУП НДІ абароны раслін, мачта МТС           ; 53.797350; 27.455961;G*
$;4;R  ;MIO; Вялікі Трасцянец   ; ;   ;      ;         ;;206;700311;123;206;700311;56789:10;22.06.18; Менскі р-н           ; апорная мачта МТС                                    ; 53.860239; 27.703671;G
$;4;R  ;MIO; Вялікі Трасцянец   ;v;   ;      ;         ;;206;700311;:51:52:53;;   ;        ;21.03.19; Менскі р-н           ; апорная мачта МТС                                    ; 53.860239; 27.703671;G
$;4;R  ;MIO; Гатава             ; ;   ;      ;         ;;217;700312;123;   ;      ;        ;22.06.18; Менскі р-н           ; скурзавод, труба                                      ; 53.772735; 27.649964;G
$;4;R  ;MIO; Гатава             ;v;   ;      ;         ;;217;700312;:51:52:53;;   ;        ;22.03.19; Менскі р-н           ; скурзавод, труба                                      ; 53.772735; 27.649964;G
$;4;R  ;MIO; Прывольны          ; ;   ;      ;         ;;217;700315;123;217;700315;5 78 :10;15.01.17; Менскі р-н, Міру 23  ; гасцініца N2, канстр.? МТС?                          ; 53.795672; 27.796969;G*
$;4;R  ;MIO; Прывольны          ;v;   ;      ;        ;;217;700315;:51:52:53;217;700315;:71;30.03.19; Менскі р-н, Міру 23  ; гасцініца N2, канстр.? МТС?                          ; 53.795672; 27.796969;G*
$;4;R  ;MIO; Калодзішчы         ; ;   ;      ;         ;;208;700317;123;   ;      ;        ;30.04.18; Менская 10            ; Белпошта, мачта МТС                                  ; 53.956936; 27.781764;G*
$;4;R  ;MIO; Калодзішчы         ;v;   ;      ;         ;;208;700317;:51:52:53;;   ;        ;13.02.20; Менская 10            ; Белпошта, мачта МТС                                  ; 53.956936; 27.781764;G*
$;4;R  ;MIO; Паповічы           ; ;   ;      ;         ;;175;700321;123;175;700321; 6  9   ;11.07.18; Менскі р-н           ; вежа МТС 70м                                        ; 53.809001; 27.348511;G
$;4;R  ;MIO; Паповічы           ;v;   ;      ;         ;;175;700321;:51:52:53;;   ;        ;11.04.19; Менскі р-н           ; вежа МТС 70м                                        ; 53.809001; 27.348511;G
$;4;R  ;MIO; Фаніпаль           ; ;   ;      ;         ;;175;700322;123;175;700322;5 78 :10;23.07.18; Завадская 5           ; кацельня, труба                                     ; 53.738701; 27.328579;G
$;4;R  ;MIO; Фаніпаль           ;v;   ;      ;         ;;175;700322;:51:52:53;;   ;        ;23.11.19; Завадская 5           ; кацельня, труба                                     ; 53.738701; 27.328579;G
$;4;R  ;MIO;Вялікая Гуменаўшчына; ;175;700323;:21      ;;   ;      ;   ;   ;      ;        ;25.07.21; Стаўбцкоўскі р-н      ; P54, вежа 70м МТС                                   ; 53.644477; 26.695127;G
