KIND;OPR;STAT;AREA;CITY;CB;LAC;CID;GSM;DCS;3G L; 3G C;  3G S   ;U-L;U900;U-S;DATE; ADDR             ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK

/;Могилев
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 160 ; 600600 ; 123     ;     ;        ;         ;03.06.17 ; Первомайская 29       ; ресторан "Днепр", мачта МТС                          ; 53.900779; 30.335660;G
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 160 ; 600600 ;:51:52:53;     ;        ;         ;03.06.17 ; Первомайская 29       ; ресторан "Днепр", мачта МТС                          ; 53.900779; 30.335660;G
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 160 ; 600650 ; 123     ;     ;        ;         ;01.04.17 ; Юбилейный б-р 21      ; ООП-5 Ленинского РОВД, мачта МТС?                    ; 53.903981; 30.357327;G*
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 160 ; 600650 ;      :53;     ;        ;         ;01.04.17 ; Юбилейный б-р 21      ; ООП-5 Ленинского РОВД, мачта МТС?                    ; 53.903981; 30.357327;G*
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 160 ; 600651 ; 123     ; 160 ; 600651 ; 67 9:10 ;01.04.17 ; Пионерская 27         ; МГТС, отдельные трубостойки                          ; 53.900779; 30.342322;G
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 160 ; 600651 ;:51:52:53;     ;        ;         ;01.04.17 ; Пионерская 27         ; МГТС, отдельные трубостойки                          ; 53.900779; 30.342322;G
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 160 ; 600652 ; 123     ; 160 ; 600652 ;56789:10 ;13.12.16 ; Шмидта пр. 3          ; МГУП, трубостойки МТС?                               ; 53.874234; 30.317017;G*
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 160 ; 600652 ;:51      ;     ;        ;         ;13.12.16 ; Шмидта пр. 3          ; МГУП, трубостойки МТС?                               ; 53.874234; 30.317017;G*
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 163 ; 600653 ; 123     ; 163 ; 600653 ; 6       ;23.12.16 ; 30 лет Победы 18      ; проф. лицей N1, мачта МТС                            ; 53.932662; 30.361701;G
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 160 ; 600654 ; 123     ; 160 ; 600654 ;5 78 :10 ;03.07.18 ; Пушкинский пр. 6      ; г-ца "Турист", трипод МТС?                           ; 53.883266; 30.335751;G*
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 160 ; 600654 ;:51:52:53;     ;        ;         ;03.07.18 ; Пушкинский пр. 6      ; г-ца "Турист", трипод МТС?                           ; 53.883266; 30.335751;G*
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 163 ; 600655 ;  23     ; 163 ; 600655 ;         ;23.12.16 ; Авиаторов 13          ; ЧТУП "АгроТоргЗапчасть", мачта МТС                   ; 53.934073; 30.267870;G
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 163 ; 600655 ;   :52:53;     ;        ;         ;23.12.16 ; Авиаторов 13          ; ЧТУП "АгроТоргЗапчасть", мачта МТС                   ; 53.934073; 30.267870;G
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 160 ; 600656 ; 123     ; 160 ; 600656 ;56 89    ;03.07.18 ; Чайковского 8         ; швейная фабрика, мачта МТС                           ; 53.877383; 30.333866;G
$;4;R  ;MO.; Могилев            ;v;     ;       ;         ;; 160 ; 600656 ;:51:52:53;     ;        ;         ;03.07.18 ; Чайковского 8         ; швейная фабрика, мачта МТС                           ; 53.877383; 30.333866;G
$;4;R  ;MO.; Могилев             ;;     ;       ;         ;; 163 ; 600657 ; 123     ; 163 ; 600657 ;5 78 :10 ;03.12.16 ; Космонавтов 13        ; общежитие строит.колледжа, трубостойки МТС?          ; 53.910677; 30.313820;G*
