KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;DATE; ADDR ; REM                    ;  OZIN     ;  OZIE  ;LOCK

/;Витебск

$;4;R;VI.; Витебск           ;;     ;       ;         ;;240;200551;123      ;240;200551;5 78 :10 ;13.12.16; Черняховского 19    ; облтелеком, отдельные труб-ки        ; 55.175144; 30.199447;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;240;200551;:51:52:53;   ;      ;         ;13.12.16; Черняховского 19    ; облтелеком, отдельные труб-ки        ; 55.175144; 30.199447;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;245;200552;123      ;245;200552; 67 9:10 ;17.04.18; Правды 30           ;управл. РУП "Витебскэнерго", отд. труб-ки; 55.187857; 30.216334;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;245;200552;:51:52:53;   ;      ;         ;17.04.18; Правды 30           ;управл. РУП "Витебскэнерго", отд. труб-ки; 55.187857; 30.216334;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;245;200553;123      ;245;200553;  7  :10 ;03.11.17; Софьи Панковой 6    ; ТЭЦ, труба                           ; 55.190660; 30.259600;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;245;200553;:51:52:53;   ;      ;         ;03.11.17; Софьи Панковой 6    ; ТЭЦ, труба                           ; 55.190660; 30.259600;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;240;200554;123      ;240;200554;56 89    ;13.12.16; П. Бровки 13А       ; завод "Витязь", отдельные трубостойки; 55.167496; 30.239121;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;240;200554;:51:52:53;   ;      ;         ;13.12.16; П. Бровки 13А       ; завод "Витязь", отдельные трубостойки; 55.167496; 30.239121;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;246;200556;123      ;246;200556;  7  :10 ;08.07.18; Бумагина 21         ; ОАО "Керамин", склад, мачта МТC      ; 55.196297; 30.180576;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;246;200556;:51:52:53;   ;      ;         ;08.07.18; Бумагина 21         ; ОАО "Керамин", склад, мачта МТC      ; 55.196297; 30.180576;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;246;200557;123      ;246;200557;5  8     ;08.01.17; Ленинградская 217;ОАО "Витебский райагросервис",отд. труб-ки;55.224434; 30.122216;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;246;200557;:51:52:53;   ;      ;         ;08.01.17; Ленинградская 217;ОАО "Витебский райагросервис",отд. труб-ки;55.224434; 30.122216;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;246;200558;123      ;246;200558;5  8     ;12.08.18; Революционная 30    ; элеватор, трубостойки МТС            ; 55.202628; 30.189099;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;246;200558;:51:52:53;   ;      ;         ;12.08.18; Революционная 30    ; элеватор, трубостойки МТС            ; 55.202628; 30.189099;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;245;200559;123      ;245;200559;56789:10 ;21.12.16; пр. Людникова 11;общежитие ОАО "Красный Октябрь", отд. труб-ки; 55.202490; 30.217016;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;245;200559;:51:52:53;   ;      ;         ;21.12.16; пр. Людникова 11;общежитие ОАО "Красный Октябрь", отд. труб-ки; 55.202490; 30.217016;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;245;200560;123      ;   ;      ;         ;29.06.18; Гагарина 189        ; котельная "Северная", труба          ; 55.229160; 30.274935;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;245;200560;:51:52:53;   ;      ;         ;29.06.18; Гагарина 189        ; котельная "Северная", труба          ; 55.229160; 30.274935;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;240;200561;123      ;240;200561; 67 9:10 ;30.11.16; Московский пр. 29   ; общежитие, мачта МТС                 ; 55.175863; 30.221082;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;240;200561;:51:52:53;   ;      ;         ;30.11.16; Московский пр. 29   ; общежитие, мачта МТС                 ; 55.175863; 30.221082;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;246;200562;123      ;246;200562;5  8     ;08.11.17; Зеньковой 1         ; БЦ "Капитал",трубостойки МТС         ; 55.191437; 30.189105;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;246;200562;:51:52:53;   ;      ;         ;08.11.17; Зеньковой 1         ; БЦ "Капитал",трубостойки МТС         ; 55.191437; 30.189105;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;240;200563;123      ;240;200563;56789:10 ;03.02.17; Чкалова 36/2        ; общежитие, мачта МТС                 ; 55.166529; 30.215093;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;240;200563;:51:52:53;   ;      ;         ;03.02.17; Чкалова 36/2        ; общежитие, мачта МТС                 ; 55.166529; 30.215093;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;245;200564;123      ;245;200564;56 89    ;03.02.17; Лазо 88А            ; общежитие №1 завода "Визас", мачта МТС; 55.201045; 30.249546;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;245;200564;:51:52:53;   ;      ;         ;03.02.17; Лазо 88А            ; общежитие №1 завода "Визас", мачта МТС; 55.201045; 30.249546;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;240;200565;123      ;240;200565;56789:10 ;23.12.16; Воинов-интернац. 1/2; жилой дом, мачта МТС                 ; 55.161965; 30.202784;G
$;4;R;VI.; Витебск          ;v;     ;       ;         ;;240;200565;:51:52:53;   ;      ;         ;23.12.16; Воинов-интернац. 1/2; жилой дом, мачта МТС                 ; 55.161965; 30.202784;G
$;4;R;VI.; Витебск           ;;     ;       ;         ;;246;200566;123      ;246;200566;  7  :10 ;06.11.17; 14-я Полоцкая 35А;отдел мат.-техн. снабж. "Белтелеком", мачта МТС; 55.191478; 30.154262;G
