KIND;OPR;STAT;AREA;CITY          ; CB              ; LAC ;  CID ;GSM ;DCS ; 3G L ; 3G C ;3G S;U-L;U900;U-S;DATE; ADDR                ; REM                                       ; OZIN     ; OZIE     ;LOCK

/;Брест
 ;B;R  ;BR.; Брест               ;                 ; 505 ; 5    ;    ;    ; 5000 ; 5    ;         ;;;;  .  .18 ;                     ;                                           ;          ;          ;

$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5000 ;123 ;456 ; 5000 ; 5000 ;123456   ;;;;25.06.06 ; Советская 33        ; РУП "Белтелеком", трубостойки             ; 52.094719; 23.690750;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5002 ;123 ;    ; 5000 ; 5002 ;1234     ;;;;12.01.07 ; Энгельса 3          ; Горисполком, трубостойки и трипод         ; 52.093072; 23.681341;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5003 ;123 ;456 ; 5000 ; 5003 ;123      ;;;;14.09.08 ;Брестских дивизий 13/1; магазин, мачта                           ; 52.104086; 23.675683;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5004 ;123 ;456 ; 5000 ; 5004 ;12345678 ;;;;11.06.07 ; б-р Космонавтов 21  ; БрГУ, мачта                               ; 52.098502; 23.694119;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5005 ;123 ;456 ; 5000 ; 5005 ;123456   ;;;;26.01.07 ; Куйбышева 62        ; вышка Брестской студии телевидения        ; 52.091827; 23.696558;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5007 ;123 ;456 ; 5000 ; 5007 ;123456   ;;;;23.09.07 ; Машерова пр. 75/1   ; ОАО "Брестская типография", мачта         ; 52.088839; 23.714010;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5009 ;123 ;456 ; 5000 ; 5009 ;123456   ;;;;31.09.07 ; Поплавского 54      ; ОАО "Брестхлебопродукт", мачта            ; 52.098030; 23.665090;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5010 ;123 ;456 ; 5000 ; 5010 ;123  6   ;;;;28.08.06 ; Смирнова 66         ; ОАО "ГСКБ", трубостойки                   ; 52.103187; 23.646710;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5011 ;123 ;456 ; 5000 ; 5011 ;123456   ;;;;06.07.06 ; Московская 204      ; ОАО "БЭЛЗ", трубостойки                   ; 52.095840; 23.739780;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5013 ;123 ;456 ; 5000 ; 5013 ;123 5    ;;;;29.08.06 ; Строительная 56     ; ПРУП "БЭТЗ", труба                        ; 52.117518; 23.736668;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5014 ;123 ;456 ; 5000 ; 5014 ; 23      ;;;;29.08.06 ; Инженерная 19       ; труба ТЭЦ                                 ; 52.121893; 23.681391;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5015 ;123 ;456 ; 5000 ; 5015 ;123456   ;;;;11.06.07 ; Московская 275     ; Дворец культуры профсоюзов, трубост.+трипод; 52.099425; 23.769606;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5016 ;123 ;456 ; 5000 ; 5016 ;123456   ;;;;13.09.07 ; Янки Купалы 115    ; общежитие N2 ОАО "Савушкин продукт", мачта ; 52.110199; 23.757195;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5017 ;123 ;456 ; 5000 ; 5017 ;1234 6   ;;;;11.06.07 ; Белорусская 51     ; ОАО "Брестский завод бытовой химии", трипод; 52.121551; 23.657216;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5018 ;123 ;456 ; 5000 ; 5018 ;123456   ;;;;24.08.07 ; Гоздецкого 11       ; РУСП "Брестжилстрой", мачта               ; 52.112490; 23.786180;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5020 ;123 ;456 ; 5000 ; 5020 ;123456   ;;;;07.07.06 ; Суворова 112        ; общежитие N2 УП "Завод Цветотрон", мачта  ; 52.072402; 23.761033;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5021 ;123 ;4 6 ; 5000 ; 5021 ;1234 6   ;;;;21.01.07 ; Суворова 21/2       ; ОАО "БрестМаш", труба                     ; 52.061947; 23.750524;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5022 ;123 ;456 ; 5000 ; 5022 ;123456   ;;;;17.01.08 ; Жукова 2            ; в/ч 92616, мачта                          ; 52.062884; 23.723548;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5023 ;123 ;    ; 5000 ; 5023 ;12       ;;;;28.02.09 ; Варшавский мост     ; погранпереход РБ-Польша, башня 72м        ; 52.076532; 23.671718;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5025 ;123 ;456 ; 5000 ; 5025 ;1234     ;;;;24.08.06 ; Катин Бор 111       ; мачта                                     ; 52.141054; 23.651152;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5030 ;123 ;    ; 5000 ; 5030 ;1234 6   ;;;;31.01.09 ; Лактионова 11       ; Центральная городская больница, триподы   ; 52.097132; 23.785304;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5031 ;123 ;    ; 5000 ; 5031 ;1234 6   ;;;;03.05.09 ; Сябровская 107      ; мкр-н Вулька, ЦТП, башня на крыше         ; 52.069174; 23.721759;G
$;B;R  ;BR.; Брест               ; BREST :)        ; 505 ; 5034 ;123 ;    ; 5000 ; 5034 ;123456   ;;;;31.12.08 ; Гаврилова 21        ; почтовое отделение N28, мачта             ; 52.108908; 23.774350;G
