KIND;OPR;STAT;AREA;CITY         ; CB               ; LAC ; CID  ; GSM; DCS; 3G L ; 3G C ;  3G S   ;U-L;U900;U-S ;DATE; ADDR            ; REM                                     ;  OZIN    ;  OZIE    ;LOCK
/;Гомель
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3000 ;123 ;    ; 3000 ; 3000 ;123456   ;;;;30.09.07 ; Ленина пр-т., 1       ; ГФ Белтелеком, триподы                  ; 52.424187; 31.012408;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3001 ;123 ;456 ; 3000 ; 3001 ;12345678 ;;;;31.03.07 ; Привокзальная пл., 1  ; г-ца Гомель, триподы                    ; 52.432005; 30.992217;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3003 ;123 ;456 ; 3000 ; 3003 ;123456   ;;;;03.02.07 ; Советская, 126        ; Белинвестбанк, трубостойки              ; 52.449892; 30.994964;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3004 ;123 ;456 ; 3000 ; 3004 ;123456   ;;;;31.03.07 ; Островского, 90       ; жилой дом (малосемейка), триподы        ; 52.421542; 30.976403;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3006 ;123 ;    ; 3000 ; 3006 ;12345678 ;;;;14.09.06 ; Советская, 157        ; з-д Электроаппаратура, мачта            ; 52.472765; 30.978967;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3007 ;123 ;456 ; 3000 ; 3007 ;12345    ;;;;29.05.07 ; Добрушская, 5а        ; жилой дом (малосемейка), мачта          ; 52.403408; 31.053994;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3008 ;123 ;456 ; 3000 ; 3008 ;123456   ;;;;11.04.07 ; Я.Коласа, 4           ; общежитие, трубостойки                  ; 52.444824; 30.969611;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3009 ;123 ;456 ; 3000 ; 3009 ;123456   ;;;;12.04.08 ; 60 лет СССР, 1        ; жилой дом (малосемейка), трубостойки    ; 52.406512; 30.976349;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3011 ;123 ;    ; 3000 ; 3011 ;123456   ;;;;07.09.09 ; Ильича, 268           ; ОАО Гомельчанка, мачта                  ; 52.358921; 31.030616;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3012 ;123 ;456 ; 3000 ; 3012 ;123 56   ;;;;07.12.08 ; Черниговская, 22а     ; з-д Кристалл, труба котельной           ; 52.373377; 31.036033;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3013 ;123 ;    ; 3000 ; 3013 ;123456   ;;;;08.08.08 ; Речицкий пр-т., 135   ; общежитие ГГТУ, трубостойки             ; 52.404601; 30.908291;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3014 ;123 ;456 ; 3000 ; 3014 ;12345678 ;;;;31.03.07 ; Октября пр-т., 48     ; ГГТУ, 1-й корпус, трипод                ; 52.406748; 30.938058;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3015 ;123 ;456 ; 3000 ; 3015 ;123456   ;;;;26.07.08 ; Барыкина, 269         ; 3-й корпус ГГТУ, трубостойки            ; 52.423552; 30.943465;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3016 ;123 ;456 ; 3000 ; 3016 ;123456   ;;;;01.10.08 ; Петруся Бровки, 15    ; общежитие ГГУ, триподы                  ; 52.473059; 31.028094;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3017 ;123 ;456 ; 3000 ; 3017 ;123456   ;;;;11.04.07 ; Космонавтов пр-т., 74 ; общежитие з-да Гомсельмаш, трубостойки  ; 52.455349; 30.958904;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3019 ;123 ;456 ; 3000 ; 3019 ;123 5    ;;;;02.04.08 ; Мазурова, 110         ; ледовый дворец, мачта                   ; 52.460311; 31.021764;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3023 ;123 ;456 ; 3000 ; 3023 ;123456   ;;;;21.12.09 ; Барыкина, 240         ; з-д Центролит, труба                    ; 52.425703; 30.914251;G
$;B;R  ;GOO; Урицкое            ; GOMEL :)         ; 305 ; 3024 ;1237;    ;      ;      ;         ;;;;07.12.08 ; Гомельский р-н        ; ТЭЦ-2, труба                            ; 52.448818; 30.816425;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3027 ;123 ;456 ; 3000 ; 3027 ;123 5    ;;;;24.09.08 ; Ильича, 2             ; мясокомбинат, адм. здание, триподы      ; 52.401753; 31.021936;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3028 ;    ;456 ; 3000 ; 3028 ;123456  90;;;;13.05.09; Ленина пр-т., 10      ; Гипроживмаш, трубостойки                ; 52.425067; 31.007946;G
$;B;R  ;GO.; Гомель             ;                  ; 305 ; 3029 ;123 ;456 ; 3000 ; 3029 ;1234 6   ;;;;22.07.13 ; Сухого, 16            ; сервисный центр ОДО НТС, мачта          ; 52.467435; 30.970609;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3031 ;123 ;456 ; 3000 ; 3031 ;123456   ;;;;27.12.08 ; Могилевская, 17       ; завод Кирова (филиал), мачта            ; 52.459450; 30.927372;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3032 ;123 ;    ; 3000 ; 3032 ;123456   ;;;;25.02.09 ; Речицкая, 1а          ; Гомельсельстройпроект, мачта            ; 52.423065; 30.998091;G
$;B;R  ;GO.; Гомель             ; GOMEL :)         ; 305 ; 3037 ;    ;456 ; 3000 ; 3037 ;12345678 ;;;;20.05.09 ; Богданова, 12/2       ; поликлиника, мачта                      ; 52.454449; 30.972379;G
