KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK
/;Гродно
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4000 ;123 ;456 ; 4000 ; 4000 ;1234 6   ;;;;19.09.09 ; Пестрака, 36         ; АТС-56, триподы (и мачта?)      ;
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4001 ;123 ;456 ; 4000 ; 4001 ;123456   ;;;;19.09.09 ; К.Маркса, 31         ; Гроднооблсельстрой, трубостойки ; 53.675892; 23.838728;G
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4002 ;123 ;    ; 4000 ; 4002 ;123 5    ;;;;19.09.09 ; пр-кт Я.Купалы, 63   ; гостиница "Турист", мачта       ; 53.654320; 23.846810;G
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4003 ;123 ;456 ; 4000 ; 4003 ;123      ;;;;19.09.09 ; Суворова, 135        ; ОАО "Гродножилстрой", трипод    ; 53.650905; 23.785405;G
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4004 ;123 ;    ; 4000 ; 4004 ;123456   ;;;;19.09.09 ; Калиновского, 1      ;гостиница "Беларусь", трубостойки; 53.690900; 23.824127; 
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4005 ;123 ;456 ; 4000 ; 4005 ;1234     ;;;;19.09.09 ; Поповича, 5          ; гостиница "Гродно", трубостойки ; 53.670432; 23.801464;G
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4006 ;123 ;456 ; 4000 ; 4006 ;123456   ;;;;19.09.09 ; Терешковой, 50   ; общежитие Гроднооблсельстрой , мачта; 53.697040; 23.851260;G*w 
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4008 ;123 ;456 ; 4000 ; 4008 ;123  6   ;;;;19.09.09 ; Горького, 123        ; котельная, труба                ; 53.720400; 23.827800;
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4009 ;123 ;    ; 4000 ; 4009 ;123456   ;;;;19.09.09 ; БЛК, 13              ; общежитие, трипод               ; 53.699369; 23.813920;G
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4010 ;123 ;456 ; 4000 ; 4010 ;123 5    ;;;;27.03.11 ; БЛК, 50              ; институт биохимии НАНБ, мачта   ; 53.695380; 23.796050;G* 
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4011 ;123 ;456 ; 4000 ; 4011 ;12345    ;;;;28.05.10 ; Транспортная, 3   ; центральная горполиклиника, триподы; 53.670573; 23.822272; 
$;B;R;GR.; Гродно ; GRODNO :) ; 405 ; 4012 ;123 ;45  ; 4000 ; 4012 ;123456   ;;;;10.08.12 ; Советская, 18        ; ТД "Неман", мачта velcom        ; 53.682335; 23.831575;G
