KIND;OPR;STAT;AREA;CITY ;CB             ; LAC ; CID  ;GSM ;DCS ; 3G L ; 3G C ;  3G S  ;U-L;U900;U-S;DATE; ADDR             ; REM                                ;   OZIN    ;   OZIE  ;LOCK

/;Минск

$;B;R  ;MI.; Минск ;                    ; 100 ;  797 ;    ;4   ;      ;     ;          ;;;;20.11.21; ???                   ; - около Победителя 98

$;B;RVM;MI.; Минск ;                    ; 100 ;  788 ;    ;45  ; 1000 ;  788 ;12 45    ;;;;13.02.18; Победителей пр. 9     ; ТРЦ "Galleria Minsk", внутри       ; 53.908500; 27.548500;*
$;B;R  ;MI.; Минск ; MINSK :)           ; 100 ;  789 ;12  ;    ; 1100 ;  789 ;12 45 78 ;;;;12.01.18; Мстиславца 11         ; ТРЦ "Dana Mall", трубостойки       ; 53.934000; 27.653600;*
$;B;RVM;MI.; Минск ; MINSK :)           ; 100 ;  789 ;   ;45689; 1100 ;  786 ;12345 7  ;;;;12.01.18; Мстиславца 11   ;БЦ "Dana Center" и ТРЦ "Dana Mall", внутри; 53.932910; 27.649636;G
$;B;RVM;MI.; Минск ;                    ; 100 ;  790 ;    ;4   ;      ;      ;         ;;;;13.08.19; Хоружей 1А            ; ТЦ "Силуэт", внутри                ; 53.916640; 27.579990;G
$;B;R  ;MI.; Минск ;                    ; 100 ;  791 ;    ;45  ; 1000 ;  791;1234567890;;;;02.09.18; Жукова пр. 44         ; ТЦ Лето, внутри                    ; 53.876889; 27.517639;*
$;B;RVM;MI.; Минск ;                    ; 100 ;  792 ;    ;45  ; 1100 ;  792 ;12 45    ;;;;02.08.18; Партизанский пр. 150А ; ТЦ "МОМО", внутри                  ; 53.859700; 27.674100;G*
$;B;RVM;MI.; Минск ;                    ; 100 ;  793 ;    ;45  ; 1000 ;  793 ;1        ;;;;21.04.18; Притыцкого 29         ; ТРК "Тивали", внутри               ; 53.907592; 27.484583;G
$;B;R  ;MI.; Минск ;                    ; 100 ;  794 ;123 ;    ; 1000 ;  794 ;123456   ;;;;28.07.16; Денисовская 8         ; ТЦ "Е-сити", два трипода           ; 53.872223; 27.572933;G*
$;B;RVM;MI.; Минск ;                    ; 100 ;  794 ;    ;4   ; 1000 ;  794 ;78       ;;;;12.12.16; Денисовская 8         ; ТЦ "Е-сити", внутри                ; 53.872000; 27.572790;*
$;B;R  ;MI.; Минск ; MINSK :)           ; 100 ;  795 ;12  ;4   ; 1000 ;  795 ;12 45    ;;;;23.06.16; Каменногорская 3      ; гипермаркет "Prostore",трубостойка ; 53.911134; 27.416330;G
$;B;RVM;MI.; Минск ;                    ;     ;      ;    ;    ; 1000 ;  795 ;  3      ;;;;25.08.16; Каменногорская 3      ; гипермаркет "Prostore", внутри     ; 53.911278; 27.415124;G
$;B;RVM;MI.; Минск ;                    ; 100 ;  798 ;    ;4 68;      ;      ;         ;;;;12.03.16; Победителей пр. 20    ; отель "Marriott", внутри           ; 53.932664; 27.510429;G
$;B;RVM;MI.; Минск ;                    ; 100 ;  799 ;    ;4   ; 1000 ;  799 ;1        ;;;;21.06.15; Кальварийская 7А      ; ТЦ "Трюм", внутри                  ; 53.905912; 27.532758;G
