KIND;OPR;STAT;AREA;CITY          ; CB                   ; LAC ; CID  ;GSM ;DCS ; 3G L ; 3G C ;  3G S   ;U-L;U900;U-S;DATE; ADDR             ; REM                                     ;  OZIN    ;  OZIE    ;LOCK

/; Менская вобласць

$;B;R  ;MIO; Калодзішчы?         ;                      ;     ;  801 ;    ;    ; 1100 ;  801 ;1    6   ;;;;29.05.17 ; ???                  ; цэнтр
$;B;R  ;MIO; Траскоўшчына        ;                      ; 115 ;  979 ;123 ;    ;      ;      ;         ;;;;15.07.19 ; Менскі р-н           ; ???
$;B;R  ;MIO; Менск               ; MINSK :)             ; 100 ; 1028 ;123 ;456 ; 1100 ; 1028 ;123456   ;;;;07.02.07 ; Баравая 5            ; Экспобел, кароткая мачта                ; 53.963573; 27.625460;G
$;B;R  ;MIO; Чыжоўка             ; MINSK :)             ; 100 ; 1227 ;    ;456 ; 1100 ; 1227 ;123456   ;;;;30.09.12 ; Кальцавая 2          ; 4х павярховы катэдж, трубастойкі         ; 53.971904; 27.541365;G
$;B;R  ;MIO; Баравая             ;                      ;     ; 1248 ;    ;    ; 1100 ; 1248 ;123456   ;;;;24.10.12 ; Баравая 7А           ; Гіпа, слуп                            ; 53.965066; 27.645546;G
$;B;R  ;MIO; Баравая             ; MINSK :)             ; 100 ; 1334 ;123 ;    ;      ;      ;         ;;;;01.10.09 ; Маневича 20          ; ГК "Зялёны Луг 6,7", слуп             ; 53.966229; 27.632908;G
$;B;R  ;MIO; Менскае мора?       ; :)                   ; 100 ; 1439 ;1   ;    ; 1100 ; 1439 ;1        ;;;;13.06.15 ; Менскі р-н           ; каля рэзідэнцыі "Заслаўль-1"           ; 53.981516; 27.443061;*
$;B;R  ;MIO; Баравая             ; MINSK :)             ; 100 ; 1494 ;123 ;    ; 1100 ; 1494 ;123456   ;;;;28.10.10 ; Баравая 1            ; г-ца Аквабел, трубастойкі               ; 53.959580; 27.631989;G
$;B;R  ;MIO; Лясны               ; LESNOJ :)            ; 115 ; 1501 ;123 ;456 ; 1100 ; 1501 ;123456   ;;;;16.07.08 ; Менскі р-н           ; інтэрнат N17, вялікі трыпод           ; 54.005224; 27.681410;G
$;B;R  ;MIO; Астрашыцкі Гарадок  ;OSTROSHICKIJ GORODOK:); 115 ; 1502 ;123 ;    ; 1100 ; 1502 ;123456   ;;;;16.11.08 ; Менскі р-н        ;Ленінская 86, мэблевая ф-ка "Ўзыход", мачта; 54.0603  ; 27.6985  ;G
$;B;R  ;MIO; Раўбічы             ; RAUBICHI :)          ; 115 ; 1503 ;123 ;    ; 1100 ; 1503 ;123456   ;;;;26.07.10 ; Менскі р-н           ; СК, высокі трамплін                    ; 54.059497; 27.738046;G*
$;B;R  ;MIO; Чудзенічы           ; CHUDENICHI :)        ; 115 ; 1504 ;123 ;    ; 1600 ; 1504 ;123 5    ;;;;21.12.08 ; Лагойскі р-н         ; М3, РТПС                                ; 54.143448; 27.793307;G
$;B;R  ;MIO; Казыры              ; KOZYRI :)            ; 115 ; 1506 ;1237;    ;      ;      ;         ;;;;13.03.09 ; Лагойскі р-н         ; М3, вежа 70м                           ; 54.324320; 27.862960;G
$;B;R  ;MIO; Плешчаніцы          ; PLESCHENICY :)       ; 115 ; 1507 ;1237;    ; 1100 ; 1507 ;1        ;;;;12.07.08 ; Лагойскі р-н         ; РТПС                                    ; 54.410161; 27.855078;G
$;B;R  ;MIO; Акалова             ; OKOLOVO :)           ; 115 ; 1508 ;1237;    ; 1100 ; 1508 ;1        ;;;;09.07.08 ; Лагойскі р-н         ; М3, вежа 50м                           ; 54.488822; 27.861104;Y
$;B;R  ;MIO; Амнішава            ; AMNISHEVO :)         ; 115 ; 1509 ;123 ;    ;      ;      ;         ;;;;12.07.08 ; Лагойскі р-н         ; М3, вежа 70м                           ; 54.576688; 27.868663;G*w
$;B;R  ;MIO; Каралёў Стан        ; KOROLEV STAN :)      ; 115 ; 1510 ;123 ;    ; 1100 ; 1510 ;12  5    ;;;;16.09.08 ; Менскі р-н           ; М2, 19 км, вежа 70м                    ; 53.996482; 27.791556;G
$;B;R  ;MIO; Смалявічы           ; SMOLEVICHI :)        ; 115 ; 1516 ;123 ;    ; 1600 ; 1516 ;123456   ;;;;15.06.08 ; Першамайская 101     ; паліклініка, мачта                      ; 54.014   ; 28.0985  ;G
$;B;R  ;MIO; Емяльянава          ; EMEL'JANOVO :)       ; 115 ; 1517 ;123 ;    ; 1100 ; 1517 ; 23  6   ;;;;15.06.08 ; Смалевіцкі р-н       ; Р53, РТПС                               ; 54.065006; 28.033171;G
