KIND;OPR;STAT;AREA;CITY;CB      ;LAC; CID  ;GSM ;DCS ;3G L; 3G C ;3G S;U-L;U900;U-S;DATE; ADDR               ; REM                                   ;  OZIN    ;  OZIE    ;LOCK
/;Могилев
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6000 ;123 ;    ;6000; 6000 ;12345678 ;;;;03.06.07;Пионерская 27        ;МГТС, трубостойки                      ; 53.900779; 30.342322;G
$;B;D;MO.;Могилев ;MOGILEV :)   ;605; 6000 ;    ;456 ;    ;      ;         ;;;;03.06.07;Пионерская 27        ;МГТС, трубостойки                      ; 53.900779; 30.342322;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6002 ;123 ;456 ;6000; 6002 ;123456   ;;;;09.07.10;Первомайская 66      ;ОАО "АгроМашСервис", мачта             ; 53.916385; 30.341600;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6003 ;123 ;    ;6000; 6003 ;123456   ;;;;10.08.07;Гришина 104          ;общежитие, триподы                     ; 53.905133; 30.378650;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6006 ;123 ;    ;6000; 6006 ;12345678 ;;;;07.06.07;Космонавтов 13       ;общежитие строит.колледжа, трубостойки ; 53.910677; 30.313820;G
$;B;D;MO.;Могилев ;MOGILEV :)   ;605; 6006 ;    ;456 ;    ;      ;         ;;;;07.06.07;Космонавтов 13       ;общежитие строит.колледжа, трубостойки ; 53.910677; 30.313820;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6007 ;123 ;456 ;6000; 6007 ;1234 6   ;;;;07.06.07;Шмидта пр. 3         ;МГУП, трубостойки                      ; 53.874234; 30.317017;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6008 ;123 ;456 ;6000; 6008 ;123      ;;;;23.03.07;Островского 52       ;АТС 41, мачта                          ; 53.875417; 30.331767;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6011 ;123 ;    ;6000; 6011 ;123      ;;;;26.03.07;Витебский пр. 70     ;обл. психиатрическая больница, мачта   ; 53.888053; 30.427665;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6012 ;123 ;456 ;6000; 6012 ;123456   ;;;;28.05.08;Первомайская 152     ;проф. лицей N9, низкая мачта           ; 53.938106; 30.332282;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6013 ;123 ;456 ;6000; 6013 ;123456   ;;;;24.03.07;Белинского 9         ;общежитие, трубостойки                 ; 53.930267; 30.347550;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6014 ;123 ;456 ;6000; 6014 ;1234     ;;;;22.03.07;Крупской 176         ;поликлиника N10, мачта                 ; 53.949475; 30.356550;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6015 ;123 ;456 ;6000; 6015 ;12345678 ;;;;24.08.12;Минское ш.22         ;УО "МТКПК", мачта                      ; 53.931194; 30.258962;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6016 ;123 ;    ;6000; 6016 ;123      ;;;;01.05.07;Шмидта пр. 106А      ;ТЭЦ-2, труба                           ; 53.811700; 30.342600;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6017 ;123 ;    ;6000; 6017 ;123456   ;;;;24.08.12;Шмидта пр. 80        ;ф-л БНТУ,магазин "E-MOGILEV", эйф.башня; 53.866900; 30.336067;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6018 ;123 ;456 ;6000; 6018 ;123456   ;;;;17.04.11;30 лет Победы 18     ;проф. лицей N1, мачта                  ; 53.932889; 30.361757;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6020 ;123 ;456 ;6000; 6020 ;123 56   ;;;;11.04.07;Симонова 55А         ;Беллифт, мачта                         ; 53.863426; 30.311713;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6021 ;123 ;456 ;6000; 6021 ;1234     ;;;;28.05.08;Юбилейный б-р 21     ;ООП-5 Ленинского РОВД, мачта           ; 53.903687; 30.357334;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6022 ;123 ;456 ;6000; 6022 ;123456   ;;;;07.12.08;Димитрова пр. 52     ;АТС, мачта                             ; 53.871358; 30.367927;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6023 ;123 ;456 ;6000; 6023 ;123      ;;;;05.09.12;Павлова 2            ;УО "Мог.больница N1", триподы          ; 53.865584; 30.385606;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6024 ;123 ;456 ;6000; 6024 ;123      ;;;;13.05.08;Челюскинцев 84       ;ОАО "Желатиновый завод", мачта         ; 53.892080; 30.286119;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6025 ;123 ;456 ;6000; 6025 ;123456   ;;;;07.12.08;Мовчанского 53       ;ресторан "Виктория-Холл",мачта         ; 53.877628; 30.374278;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6028 ;123 ;    ;6000; 6028 ;123      ;;;;07.12.08;Славгородское ш.165  ;завод N7 СЖБ, мачта                    ; 53.841550; 30.385470;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6029 ;123 ;    ;6000; 6029 ;123456   ;;;;07.12.08;Рогачевская 2        ;общежитие, мачта                       ; 53.874850; 30.339217;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6030 ;123 ;    ;6000; 6030 ;1234 6   ;;;;18.07.10;Строителей 13А       ;общежитие  N5 стройтеста N12, мачта    ; 53.905488; 30.292866;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6031 ;    ;456 ;    ;      ;         ;;;;02.02.10;Первомайская 59      ;обл. диагностический центр, трубостойки; 53.904888; 30.338986;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6032 ;    ;456 ;6000; 6032 ;123456   ;;;;25.09.11;Якубовского 20       ;ОАО "Обувь", трипод                    ; 53.917787; 30.307148;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6033 ;123 ;    ;6000; 6033 ;123456   ;;;;06.11.11;Витебский пр. 5      ;ОАО "МоАЗ", администр. здание, трипод  ; 53.882159; 30.406959;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6034 ;    ;456 ;6000; 6034 ;123456   ;;;;18.07.10;Космонавтов 25       ;общежитие дор.-строит. треста, мачта   ; 53.906070; 30.305898;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6035 ;123 ;    ;6000; 6035 ;123  6   ;;;;25.09.11;Орловского 24А       ;ДЮСШ, башня на здании                  ; 53.918695; 30.324421;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6036 ;123 ;    ;6000; 6036 ;1234     ;;;;07.08.10;Челюскинцев 172      ;АП N4, гараж, мачта                    ; 53.879490; 30.264131;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6037 ;123 ;    ;6000; 6037 ;123 5    ;;;;23.09.12;Ямницкая 83Б         ;склад оптовой базы, мачта              ; 53.899194; 30.264869;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6038 ;123 ;    ;6000; 6038 ;123 5    ;;;;09.08.10;Гомельское ш. 15А    ;СТО, совм. мачта с БелСел              ; 53.854748; 30.355358;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6039 ;    ;456 ;6000; 6039 ;123  6   ;;;;05.09.12;Тагильский пер.      ;производственное здание, мачта         ; 53.878225; 30.392281;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6042 ;123 ;    ;6000; 6042 ;123456   ;;;;08.07.10;Ленинская 12         ;РУП Белтелеком, трубостойки            ; 53.896266; 30.334233;G
$;B;D;MO.;Могилев ;MOGILEV :)   ;605; 6042 ;    ;456 ;    ;      ;         ;;;;08.07.10;Ленинская 12         ;РУП Белтелеком, трубостойки            ; 53.896266; 30.334233;G
$;B;R;MO.;Могилев ;MOGILEV :)   ;605; 6044 ;    ;456 ;6000; 6044 ;123456   ;;;;02.02.10;Пушкинский пр. 6     ;г-ца "Турист", мачта                   ; 53.883266; 30.335751;G
