KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR       ; REM                                 ;  OZIN     ;  OZIE  ;LOCK
/;Витебск;;;;;;;;;;;;;;;
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2000 ;123 ;    ;2000; 2000 ;123456   ;;;;04.07.07; Фрунзе 90А          ; почтовое отделение 210033, мачта    ; 55.196440; 30.248261;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2001 ;123 ; 56 ;    ;      ;         ;;;;07.10.10; Черняховского 19    ; облтелеком, мачта                   ; 55.175112; 30.199211;G
$;B;R;VI.; Витебск ;            ;   ;      ;    ;    ;2000; 2001 ;123456   ;;;;07.10.10; Черняховского 19    ; облтелеком, трипод                  ; 55.175094; 30.198991;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2002 ;123 ;456 ;2000; 2002 ;123456   ;;;;06.07.07; Замковая 5          ; гостиница "Витебск", трубостойки    ; 55.192030; 30.202543;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2003 ; 23 ;    ;2000; 2003 ;123456   ;;;;18.07.10; Смоленская 11А      ; фабрика полуфабрикатов, триподы     ; 55.187105; 30.236073;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2004 ;123 ;    ;2000; 2004 ;123456   ;;;;20.08.07; Московский пр. 57А  ; СК по Витебской области, мачта      ; 55.174815; 30.245807;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2005 ;123 ;    ;2000; 2005 ;123456   ;;;;04.07.07; пр. Людникова 11    ; общ. ОАО "Красный Октябрь", труб-ки ; 55.202490; 30.217016;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2007 ;123 ;    ;2000; 2007 ;12345    ;;;;05.12.07; М. Горького 62      ; комбинат шелковых тканей, мачта     ; 55.172700; 30.153155;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2008 ;123 ;45  ;2000; 2008 ;1234 6   ;;;;20.03.09; Гагарина 222Б       ; ОДО "НП-Сервис", мачта              ; 55.229374; 30.255347;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2009 ;123 ;4 6 ;2000; 2009 ;123456   ;;;;05.12.07; пр. Победы 7А       ; общ. приборостроит. завода, труб-ки ; 55.171525; 30.224563;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2010 ;123 ;    ;2000; 2010 ;123456   ;;;;04.07.07; Лазо 88А            ; общ. завода "Мегом", мачта          ; 55.201079; 30.249116;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2011 ;123 ;    ;2000; 2011 ;1234 6   ;;;;02.12.10; 3-я Чепинская       ; ООО "ПП ФАПЛ", мачта                ; 55.211333; 30.126926;G
$;B;R;VI.; Витебск ; VITEBSK :) ;205; 2012 ;123 ;4   ;2000; 2012 ;123456   ;;;;13.01.08; Московский пр. 10   ; облпочта, мачта                     ; 55.182519; 30.206212;G
